path,symbol,policy,role,inputs,returns,D0_preserved,D1_evidence_used,label_access,artifact,tests,frozen_use
src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py,_parse_frozen_d0_prediction_v1,V1,"validate committed D0 input","execution token","FrozenD0PredictionInputV1",NA,"none",NO,"D0 authority",tests/test_task039e3_r2r_d2_inner_execution_v1.py,YES
src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py,_parse_frozen_d1_prediction_v1,V1,"validate committed D1 input","execution token","FrozenD1PredictionInputV1",NA,"alarm/index/relation",NO,"D1 authority",tests/test_task039e3_r2r_d2_inner_execution_v1.py,YES
src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py,_parse_frozen_source_map_v1,V1,"bind relation to source","execution token","FrozenD2SourceMapV1",NA,"source identity",NO,"source map",tests/test_task039e3_r2r_d2_inner_execution_v1.py,YES
src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py,fuse_point_v1,V1,"pointwise OR and gate","D0 Boolean; source set","corroborated; alarm; trigger",YES,"distinct sources",NO,"none",tests/test_task039e3_r2r_d2_inner_execution_v1.py,YES
src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py,_build_fusion_evidence_v1,V1,"same-index source aggregation","frozen D0/D1/source map","D2FusionEvidenceV1",YES,"alarming records",NO,"private fusion evidence",tests/test_task039e3_r2r_d2_inner_execution_v1.py,YES
src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py,_persist_combined_prediction_before_label_v1,V1,"durable prediction gate","state; combined prediction","reloaded frozen artifact",YES,"bound hashes",NO,"ScientificCombinedPredictionArtifactV1",tests/test_task039e3_r2r_d2_inner_execution_recovery_v1.py,YES
src/paperworks/v6/task039e3_r2r_d2_v2_design_v1.py,resolve_native_horizon_map_from_frozen_authorities_v1,V2,"resolve 42 native horizons","frozen authority","native horizon map",NA,"relation horizon",NO,"horizon map",tests/test_task039e3_r2r_d2_v2_design_v1.py,YES
src/paperworks/v6/task039e3_r2r_d2_v2_inner_execution_v1.py,_build_evidence_tokens_v1,V2,"expand D1 alarms over native horizon","D1; source map; horizon map","active evidence tokens",NA,"alarm/source/horizon",NO,"private evidence tokens",tests/test_task039e3_r2r_d2_v2_inner_execution_v1.py,YES
src/paperworks/v6/task039e3_r2r_d2_v2_inner_execution_v1.py,_fuse_point_v1,V2,"pointwise OR and active-source gate","D0 Boolean; active sources","corroborated; alarm; trigger",YES,"distinct active sources",NO,"none",tests/test_task039e3_r2r_d2_v2_inner_execution_v1.py,YES
src/paperworks/v6/task039e3_r2r_d2_v2_inner_execution_v1.py,_persist_combined_prediction_before_label_v1,V2,"durable prediction gate","state; combined prediction","reloaded frozen artifact",YES,"bound hashes",NO,"ScientificCombinedPredictionArtifactV2",tests/test_task039e3_r2r_d2_v2_inner_execution_v1.py,YES
