path,symbol,component,role,parameters,returns,caller,callee,split,side_effects,threshold_config_inputs,artifact_outputs,tests,frozen_execution_use
src/paperworks/v6/relation_profiling_protocol_v1.py,multi_file_robust_scale_v1,NUMERIC_AUTHORITY,Robust normal first-difference scale,files,float,derive_multi_file_source_parameters_v1|derive_multi_file_target_scale_v1,_finite_files|_mad,train1+train2,none,"1.4826; epsilon",none,tests/test_task039d0_relation_profiling_protocol.py,yes
src/paperworks/v6/relation_profiling_protocol_v1.py,derive_multi_file_source_parameters_v1,NUMERIC_AUTHORITY,Derive source threshold and tolerance,files,mapping,evaluate_arm_blind_fit_v1,multi_file_robust_scale_v1|q75_linear_v1,train1+train2,none,"20 amplitudes; 5x noise; Q75; 3x noise; 0.10x threshold",private source parameter record,tests/test_task039d1_fit_engine.py,yes
src/paperworks/v6/relation_profiling_protocol_v1.py,derive_multi_file_target_scale_v1,NUMERIC_AUTHORITY,Derive target noise scale,files,float,evaluate_arm_blind_fit_v1,multi_file_robust_scale_v1,train1+train2,none,epsilon,private target parameter record,tests/test_task039d1_fit_engine.py,yes
src/paperworks/v6/continuous_step_protocol_v1.py,evaluate_step_candidate_v1,RELATION_PROFILING,Classify one sustained step window,"values,event_index,threshold,tolerance",event-or-status,extract_sustained_step_events_v1,median and finite checks,one normal file,none,"5 pre; 5 post; 0.80 stability",none,tests/test_task039d0_relation_profiling_protocol.py,semantic reference
src/paperworks/v6/continuous_step_protocol_v1.py,cluster_step_events_v1,RELATION_PROFILING,Deduplicate same-source events,"events,refractory",tuple events,extract_sustained_step_events_v1,sorting and single-link clustering,one normal file,none,10 rows,none,tests/test_task039d1r_event_optimization.py,semantic reference
src/paperworks/v6/continuous_step_protocol_v1.py,classify_event_isolation_v1,RELATION_PROFILING,Mark events isolated across sources,"source_events,isolation_radius",mapping,classify_all_source_isolation_v1,sorted index scan,one normal file,none,inclusive radius 2,none,tests/test_task039d1r_isolation_optimization.py,semantic reference
src/paperworks/profiling/task039d1_execution_optimization_v1.py,extract_sustained_step_events_linear_v1,RELATION_PROFILING,Optimized frozen event extraction,"values,threshold,tolerance",tuple events,evaluate_arm_blind_fit_v1,optimized medians and cluster helper,train1 or train2,none,frozen event policy,private event stream only,tests/test_task039d1r_event_optimization.py,yes
src/paperworks/profiling/task039d1_execution_optimization_v1.py,classify_all_source_isolation_indexed_v1,RELATION_PROFILING,Optimized all-source isolation,source_events,mapping,evaluate_arm_blind_fit_v1,indexed neighbor checks,train1 or train2,none,inclusive radius 2,private event stream refs,tests/test_task039d1r_isolation_optimization.py,yes
src/paperworks/profiling/task039d1_fit_v1.py,optimized_target_response_v1,RELATION_PROFILING,Measure delayed target response,"values,event_index,horizon",censor flag and response,_direction_statistics,median,train1 or train2,none,"baseline 5; response 3; frozen horizons",none,tests/test_task039d1_fit_engine.py,yes
src/paperworks/profiling/task039d1_fit_v1.py,_direction_statistics,RELATION_PROFILING,Compute per-file and pooled response evidence,"targets,events,source sign,scale,horizon,target sign",mapping,evaluate_arm_blind_fit_v1,optimized_target_response_v1,train1+train2,none,target noise scale,directional fit record,tests/test_task039d1_independent_replay.py,yes
