section_id,name,role,input,output,code,executed,frozen_result_used,validation_state,next_deep_review
DATA,Data / provenance / splits,Pins source edition and public-safe data identities,approved metadata and split policy,bounded custody and split authority,src/paperworks/data/hai_provenance_v1.py::build_hai_dataset_manifest_v2,true,true,source/evidence reviewed,ARCH-001
DISCOVERY,META / STAT / GDN discovery,Integrates discovery arms without rescoring,frozen P1 pair universe,47-pair unscored union,src/paperworks/candidates/candidate_integration_v1.py::build_task039c_integration_v1,true,true,source/evidence reviewed,ARCH-002
RELATION,Relation profiling / numeric authority,Fits direction and lag aware normal relations,normal-only candidate cohort,confirmed relations and numeric authorities,src/paperworks/profiling/task039d1_fit_v1.py::build_fit_result_v1,true,true,source/evidence reviewed,ARCH-003
RULE,Evidence / DSL / T0-T2,Carries normal-only support stability and parameter references,confirmed relation evidence,bounded construction outcomes,src/paperworks/v6/task039e3_scientific_execution_v1.py::RealConstructionEvidenceV1/project_real_evidence_v1,true,true,source/evidence reviewed,ARCH-004
VERIFIER,Verifier / COMMON-42,Checks bounded contract validity independently of labels,prepared proposals and frozen evidence,verified COMMON-42 authority,src/paperworks/v6/task039e0_validity_v2.py::verify_prepared_rule_proposal_v2,true,true,source/evidence reviewed,ARCH-005
RUNTIME,Rule runtime / trace / explanation,Executes frozen rules with deterministic parameter resolution,COMMON-42 and private numeric resolver,D1 decisions and task-specific trace hashes,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py::execute_real_rule_v1,true,true,source/evidence reviewed,ARCH-006
D0,D0 PCA-SPE,Frozen simple detector baseline,frozen detector authorities and INNER features,label-blind D0 prediction,src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py::execute_authorized_d0_inner_v1,true,true,pilot integrity audited; hypothesis not thereby validated,ARCH-007
D1,D1 Rule-only,Standalone COMMON-42 anomaly signal,COMMON-42 and INNER features,label-blind D1 prediction,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py::execute_authorized_inner_d1_v1,true,true,pilot integrity audited; hypothesis not thereby validated,ARCH-008
D2,D2 fusion,Preregistered same-second D0 and D1 fusion,frozen D0 and D1 predictions,V1 and V2 combined predictions,src/paperworks/v6/task039e3_r2r_d2_inner_execution_recovery_v1.py::execute_authorized_d2_inner_recovery_v1,true,true,pilot integrity audited; hypothesis not thereby validated,ARCH-009
METRICS,Metrics / result integrity,Verifies immutable predictions metrics ordering and leakage,frozen predictions then authorized labels,pilot metrics and integrity receipts,scripts/audit_task039e3_r2r_d0_result_integrity_v1.py::run_audit_v1,true,true,pilot integrity audited; hypothesis not thereby validated,ARCH-010
REPRODUCIBILITY,OUTER / reproducibility,Tracks pins preservation and restoration readiness,pinned history and environment receipts,blocker plus incomplete reproduction assessment,docs/post_push_checkpoint_v1/07_REPRODUCIBILITY_ASSESSMENT.md::not_applicable_document,false,false,source/evidence reviewed,ARCH-011
