contract_id,consumer_component,source_split,input_type,required_fields,optional_fields,timestamp_requirement,label_field_present,label_allowed,shape_or_count_constraint,validation_symbol,failure_behavior,evidence
DATASET-MANIFEST,DATA_PROVENANCE,all approved files,DatasetManifestV2,dataset identity;file identities;feature hash;timestamp specification;label specification,metadata references,verified one-second nominal interval,separate label specification only,false,exact ten approved files and six time-series records,build_hai_dataset_manifest_v2,fail closed on population hash schema or interval mismatch,src/paperworks/data/hai_provenance_v1.py
DATA-VIEW,SPLIT_GOVERNANCE,normal files,DataViewManifestV2,source manifest;process scope;sampling;feature-order hash;aggregation,preprocessing config,view interval equals aggregation output,false,false,positive sampling interval and unique process scope,DataViewManifestV2.__post_init__,raise DataContractV2Error,src/paperworks/data/contracts_v2.py
SPLIT-MANIFEST,SPLIT_GOVERNANCE,train1 through train4,SplitManifestV2,dataset;view;role;raw ranges;purge;process;creation policy,seeds;event IDs,split before windowing,true,false,false,ordered non-overlapping ranges and explicit sealed state,SplitManifestV2.__post_init__,raise DataContractV2Error,src/paperworks/data/contracts_v2.py
CANDIDATE-ACCESS,VARIABLE_ROLE_UNIVERSE,train1 and train2,relative file authorization,arm;process;relative file,NONE,file-local source identity,false,false,META none;STAT and GDN exact train1/train2,authorize_candidate_arm_value_access_v1,raise CandidateDiscoveryProtocolError,src/paperworks/v6/candidate_discovery_protocol_v1.py
P1-ROLE-UNIVERSE,VARIABLE_ROLE_UNIVERSE,public metadata,CandidateUniversePolicyV1,12 ordered source identities;12 ordered target identities;pair hash,metadata record hashes,not applicable,false,false,144 lexicographically ordered directed pairs,CandidateUniversePolicyV1.__post_init__,raise CandidateDiscoveryProtocolError,src/paperworks/v6/candidate_discovery_protocol_v1.py
RELATION-FIT,RELATION_PROFILING,train1 and train2,column vectors,timestamp plus required source and target features,NONE,file-local no cross-file windows,false,false,exact authorized file identity and expected row count,load_authorized_fit_values_v1,raise TASK039D1Error,src/paperworks/profiling/task039d1_fit_v1.py
RELATION-CONFIRM,RELATION_PROFILING,train3,confirmed relation value map,required source and target features,NONE,file-local confirmation windows,false,false,one-way train3 confirmation only,require_real_execution_authorization_v1,raise TASK039D2PreparationError,src/paperworks/profiling/task039d2_confirmation_v1.py
NORMAL-NUMERIC,NUMERIC_AUTHORITY,train1 and train2,feature column mapping,exact COMMON-42 required variables,NONE,file-local values without labels,false,false,verified hashes and expected row counts,load_verified_normal_features_v1,raise NormalOnlyAuthorityV1Error,src/paperworks/v6/task039e3_r2r_utility_normal_only_authority_v1.py
D0-NORMAL-FRAME,D0_PCA_SPE,train1 through train4,float64 matrix,exact ordered 37 P1 features,timestamp excluded from matrix,timestamp column required,false,false,per-file expected rows by frozen identity,_parse_normal_frame,raise D0TrainingError,src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py
D0-TEST1-FRAME,D0_PCA_SPE,test1,RealD0FeatureFrameV1,exact timestamp plus 37 ordered P1 features,NONE,timestamp retained only for label alignment,false,false,54000 by 37 float64 finite,_parse_test1_feature_frame_once_v1,raise InnerD0ExecutionV1Error,src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py
D0-TEST1-LABEL,RESULT_INTEGRITY,label-test1,RealD0LabelEventCustodyV1,timestamp;strict integer label,NONE,exact equality to feature timestamps,true,true,54000 labels in set 0 or 1,_load_label_custody_once_v1,fail unless PREDICTION_FROZEN,src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py
D1-TEST1-FRAME,D1_RULE_ONLY,test1,RealInnerFeatureFrameV1,timestamp plus exact execution feature cohort,NONE,timestamp retained for decisions and label alignment,false,false,54000 rows and frozen feature identity,_load_real_feature_frame_v1,raise InnerD1ExecutionV1Error,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py
D1-TEST1-LABEL,RESULT_INTEGRITY,label-test1,RealLabelEventCustodyV1,timestamp;strict integer label,NONE,exact equality to feature timestamps,true,true,54000 labels in set 0 or 1,_load_real_label_custody_v1,requires issued label-blind prediction object but not durable file,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py
D2-FROZEN-INPUT,D2_V1,test1 frozen predictions,FrozenD0PredictionInputV1 plus FrozenD1PredictionInputV1,exact artifact bindings and 54000 decisions,source map,physical index closure,false,false,54000 predictions per arm,_parse_frozen_d0_prediction_v1;_parse_frozen_d1_prediction_v1,fail closed on bytes hash schema or closure,src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py
D2-LABEL,RESULT_INTEGRITY,label-test1,D2LabelEventCustodyV1,timestamp;strict integer label,NONE,exact frozen test1 authority,true,true,54000 labels,_load_label_custody_once_v1,fail unless COMBINED_PREDICTION_FROZEN,src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py
OUTER-TEST2,OUTER_EVALUATION,test2,OuterTest2FeatureSnapshotV1,timestamp plus frozen P1 feature schema,NONE,timestamp required for later label alignment,false,false,230400 rows expected,_parse_feature_bytes,fail closed on custody hash schema or nonfinite values,src/paperworks/v6/task039e3_r2r_outer_d0_d1_d2v1_execution_v1.py
OUTER-LABEL,OUTER_EVALUATION,test2 label authority,strict label tuple,timestamp;strict integer label,NONE,exact equality to frozen feature timestamps,true,true,230400 labels,_parse_label_bytes,fail unless all three predictions frozen,src/paperworks/v6/task039e3_r2r_outer_d0_d1_d2v1_execution_v1.py
