path,symbol,role,parameters,returns,caller,callee,split,fit_or_predict,artifact,label_access,determinism,tests,frozen_use
src/paperworks/v6/task039e3_r2r_d0_detector_design_v1.py,_build_expected_d0_detector_design_v1,Freeze detector feature and algorithm policy,none,design object,design module,stable_hash_v1,metadata,design,design receipts,none,deterministic,tests/test_task039e3_r2r_d0_detector_design_v1.py,true
src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py,_parse_normal_frame,Strict normal frame parser,path and identity,float64 frame,training controller,csv parser,train1_train2_train3_train4,fit,none,forbidden,deterministic,tests/test_task039e3_r2r_d0_detector_training_v1.py,true
src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py,fit_preprocessing_v1,Population mean and scale,train1 and train2 frames,mean and scale,training controller,numpy mean and std,train1_train2,fit,preprocessing artifact,forbidden,deterministic with environment assumptions,tests/test_task039e3_r2r_d0_detector_training_v1.py,true
src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py,covariance_v1,Population covariance,standardized matrix,symmetric covariance,training controller,numpy matmul,train1_train2,fit,model intermediate,forbidden,deterministic with environment assumptions,tests/test_task039e3_r2r_d0_detector_training_v1.py,true
src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py,eigendecomposition_v1,Eigen decomposition and stable ordering,covariance,eigenvalues and loadings,training controller,np.linalg.eigh,train1_train2,fit,model intermediate,forbidden,deterministic with environment assumptions,tests/test_task039e3_r2r_d0_detector_training_v1.py,true
src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py,select_components_v1,Select smallest k reaching 0.95,eigenvalues and loadings,k and retained loadings,training controller,cumulative variance and sign anchor,train1_train2,fit,model artifact,forbidden,deterministic,tests/test_task039e3_r2r_d0_detector_training_v1.py,true
src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py,score_spe_v1,Compute row SPE,frame mean scale loadings,score vector,training controller,numpy projection,train3_train4,predict,calibration and sanity evidence,forbidden,deterministic with environment assumptions,tests/test_task039e3_r2r_d0_detector_training_v1.py,true
src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py,threshold_q_index_v1,Exact empirical order index,n and q,index,calibrate_threshold_v1,integer arithmetic,train3,calibrate,threshold artifact,forbidden,deterministic,tests/test_task039e3_r2r_d0_detector_training_v1.py,true
src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py,calibrate_threshold_v1,Select no-interpolation q0.999 value,train3 scores,threshold and index,training controller,stable sort and threshold_q_index_v1,train3,calibrate,threshold artifact,forbidden,deterministic,tests/test_task039e3_r2r_d0_detector_training_v1.py,true
src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py,execute_d0_normal_training_and_calibration_v1,One authorized fit calibration and sanity run,committed grant and private normal files,training outcome,authorized script,all fit functions,train1_train2_train3_train4,fit,model threshold receipts,forbidden,deterministic with environment assumptions,training and integrity tests,true
src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,compute_spe_float64_v1,Frozen test1 scorer,test1 frame and frozen model,one score per row,execute_authorized_d0_inner_v1,numpy projection,test1,predict,private score evidence,forbidden,deterministic with environment assumptions,tests/test_task039e3_r2r_d0_inner_execution_v1.py,true
src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,strict_alarm_mask_v1,Strict threshold comparator,scores and threshold,bool mask,execute_authorized_d0_inner_v1,numpy greater-than,test1,predict,prediction artifact,forbidden,deterministic,training and inner tests,true
src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,_persist_prediction_before_label_v1,Atomic public prediction freeze,state and prediction,frozen bytes,execute_authorized_d0_inner_v1,write replay validate,test1,predict,prediction JSON,before labels only,deterministic,inner and integrity tests,true
src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,_load_label_custody_once_v1,Post-freeze label gate,state timestamps and label path,private label custody,execute_authorized_d0_inner_v1,require_label_access,test1,metric,private custody,after durable freeze only,deterministic,inner and integrity tests,true
src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,execute_authorized_d0_inner_v1,One frozen INNER execution,committed grant and private bindings,frozen D0 outcome,authorized script,score freeze label metrics,test1,predict,prediction and metric reports,ordered gate,deterministic with environment assumptions,inner and integrity tests,true
