edge_id,from_component,to_component,input_output_type,artifact_or_memory,schema_summary,split_scope,evidence,verified,notes
EDGE-001,VARIABLE_ROLE_UNIVERSE,META_DISCOVERY,ART-P1-ROLE-UNIVERSE,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,metadata_candidate_discovery_v1 imports CandidateUniversePolicyV1 from candidate_discovery_protocol_v1,TRUE,Static source edge verified
EDGE-002,VARIABLE_ROLE_UNIVERSE,STAT_DISCOVERY,ART-P1-ROLE-UNIVERSE,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,statistical_candidate_discovery_v1 imports the C0 protocol contracts,TRUE,Static source edge verified
EDGE-003,VARIABLE_ROLE_UNIVERSE,GDN_DISCOVERY,ART-P1-ROLE-UNIVERSE,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,GDN drivers import the C0 protocol and pass the candidate mask,TRUE,Static source edge verified
EDGE-004,META_DISCOVERY,CANDIDATE_UNION,ART-META-RESULT,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,build_task039c_integration_v1 accepts and validates meta_result,TRUE,Static source edge verified
EDGE-005,STAT_DISCOVERY,CANDIDATE_UNION,ART-STAT-RESULT,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,build_task039c_integration_v1 accepts and validates stat_result,TRUE,Static source edge verified
EDGE-006,GDN_DISCOVERY,CANDIDATE_UNION,ART-GDN-RESULT,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,build_task039c_integration_v1 accepts and validates gdn_result,TRUE,Static source edge verified
EDGE-007,CANDIDATE_UNION,RELATION_PROFILING,ART-CANDIDATE-COHORT,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,fit-stage source binds exact candidate cohort identities and the integration artifact,TRUE,Static source edge verified
EDGE-008,RELATION_PROFILING,RELATION_PROFILING,ART-D1-FIT-RESULT; ART-TRAIN3-CONFIRMATION; ART-CONFIRMED-RELATIONS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,task039d2_confirmation_v1 imports optimized_target_response_v1 from task039d1_fit_v1,TRUE,Static source edge verified
EDGE-009,RELATION_PROFILING,EVIDENCE_PACK,ART-D1-FIT-RESULT; ART-TRAIN3-CONFIRMATION; ART-CONFIRMED-RELATIONS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,task039e1 materialization consumes confirmed relation and fit/confirmation ledgers,TRUE,Static source edge verified
EDGE-010,EVIDENCE_PACK,T0_TEMPLATE,ART-CONSTRUCTION-EVIDENCE,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,project_real_evidence_v1 produces RealConstructionEvidenceV1 consumed by run_real_t0_v1,TRUE,Static source edge verified
EDGE-011,EVIDENCE_PACK,T1_ONE_SHOT,ART-CONSTRUCTION-EVIDENCE,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,run_authorized_scientific_execution_v1 passes projected evidence to run_t1_v1,TRUE,Static source edge verified
EDGE-012,EVIDENCE_PACK,T1B_REPEAT,ART-CONSTRUCTION-EVIDENCE,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,run_authorized_scientific_execution_v1 passes projected evidence to run_t1b_v1,TRUE,Static source edge verified
EDGE-013,EVIDENCE_PACK,T2_AGENTIC_FEEDBACK,ART-CONSTRUCTION-EVIDENCE,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,run_authorized_scientific_execution_v1 passes projected evidence to run_t2_v1,TRUE,Static source edge verified
EDGE-014,T0_TEMPLATE,DETERMINISTIC_VERIFIER,frozen T0 construction outcomes; ART-CONSTRUCTION-ANALYSIS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,"run_real_t0_v1 calls wrap_and_verify_core_v1, which calls verify_prepared_rule_proposal_v2",TRUE,Static source edge verified
EDGE-015,T1_ONE_SHOT,DETERMINISTIC_VERIFIER,frozen T1 construction outcomes; ART-CONSTRUCTION-ANALYSIS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,run_t1_v1 calls wrap_and_verify_core_v1,TRUE,Static source edge verified
EDGE-016,T1B_REPEAT,DETERMINISTIC_VERIFIER,frozen T1-B selected outcomes; ART-CONSTRUCTION-ANALYSIS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,run_t1b_v1 calls wrap_and_verify_core_v1,TRUE,Static source edge verified
EDGE-017,T2_AGENTIC_FEEDBACK,DETERMINISTIC_VERIFIER,frozen T2 outcomes; ART-CONSTRUCTION-ANALYSIS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,run_t2_v1 calls wrap_and_verify_core_v1 and uses verifier issues for bounded next action,TRUE,Static source edge verified
EDGE-018,NUMERIC_AUTHORITY,COMMON42_FREEZE,ART-NUMERIC-AUTHORITY-RECEIPT; private runtime numeric resolver,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,Utility V4 builds NumericAuthorityDescriptorV4 and canonical rule descriptors from the materialized authority receipt,TRUE,Static source edge verified
EDGE-019,COMMON42_FREEZE,D1_RULE_ONLY,ART-COMMON42; ART-UTILITY-V4-AUTHORITY,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D1 real bridge loads Utility V4 public authority and uses rule_by_binding,TRUE,Static source edge verified
EDGE-020,D1_RULE_ONLY,EPISODE_CONSTRUCTION,ART-D1-PREDICTION; ART-D1-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D1 real execution builds alarm episodes from its frozen prediction for metrics,TRUE,Static source edge verified
EDGE-021,D0_PCA_SPE,EPISODE_CONSTRUCTION,ART-D0-PREDICTION; ART-D0-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D0 real entrypoint calls metric_policy_v1.form_alarm_episodes_v1 after prediction reload,TRUE,Static source edge verified
EDGE-022,D0_PCA_SPE,D2_V1,ART-D0-PREDICTION; ART-D0-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D2 V1 parses the frozen D0 prediction,TRUE,Static source edge verified
EDGE-023,D1_RULE_ONLY,D2_V1,ART-D1-PREDICTION; ART-D1-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D2 V1 parses the frozen D1 prediction,TRUE,Static source edge verified
EDGE-024,D0_PCA_SPE,D2_V2,ART-D0-PREDICTION; ART-D0-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D2 V2 _parse_frozen_d0_prediction_v1,TRUE,Static source edge verified
EDGE-025,D1_RULE_ONLY,D2_V2,ART-D1-PREDICTION; ART-D1-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D2 V2 _parse_frozen_d1_prediction_v1,TRUE,Static source edge verified
EDGE-026,D0_PCA_SPE,ATTACK_EVENT_RECALL,ART-D0-PREDICTION; ART-D0-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D0 metric_arithmetic_v1 after prediction freeze,TRUE,Static source edge verified
EDGE-027,D0_PCA_SPE,NORMAL_FAR,ART-D0-PREDICTION; ART-D0-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D0 metric_arithmetic_v1 after prediction freeze,TRUE,Static source edge verified
EDGE-028,D1_RULE_ONLY,ATTACK_EVENT_RECALL,ART-D1-PREDICTION; ART-D1-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D1 private metric evidence builder after prediction freeze,TRUE,Static source edge verified
EDGE-029,D1_RULE_ONLY,NORMAL_FAR,ART-D1-PREDICTION; ART-D1-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D1 private metric evidence builder after prediction freeze,TRUE,Static source edge verified
EDGE-030,D2_V1,ATTACK_EVENT_RECALL,ART-D2V1-PREDICTION; ART-D2V1-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D2 V1 compute_metric_values_v1 after combined prediction freeze,TRUE,Static source edge verified
EDGE-031,D2_V2,ATTACK_EVENT_RECALL,ART-D2V2-PREDICTION; ART-D2V2-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D2 V2 compute_metric_values_v1 after combined prediction freeze,TRUE,Static source edge verified
EDGE-032,D0_PCA_SPE,RESULT_INTEGRITY,ART-D0-PREDICTION; ART-D0-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,Independent D0 audit statically forbids authoritative entrypoint use and reconstructs its own oracle,TRUE,Static source edge verified
EDGE-033,D1_RULE_ONLY,RESULT_INTEGRITY,ART-D1-PREDICTION; ART-D1-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,Independent D1 audit script binds frozen D1 artifacts,TRUE,Static source edge verified
EDGE-034,D2_V1,RESULT_INTEGRITY,ART-D2V1-PREDICTION; ART-D2V1-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,Independent D2 V1 audit script binds frozen artifacts,TRUE,Static source edge verified
EDGE-035,D2_V2,RESULT_INTEGRITY,ART-D2V2-PREDICTION; ART-D2V2-METRICS,ARTIFACT_OR_TYPED_MEMORY,Bounded public-safe contract identity,As enforced by producing component,D2 V2 audit and remediation harnesses bind the frozen V2 result,TRUE,Static source edge verified
EDGE-036,DATA_PROVENANCE,SPLIT_GOVERNANCE,documented or artifact-mediated relation,UNKNOWN_OR_INDIRECT,No direct source edge asserted,UNKNOWN,"The components share DatasetManifest/SplitManifest contracts, but no direct call from the provenance builder to assert_operation_permitted_v2 was found.",UNKNOWN,ARTIFACT/POLICY_LINK_NOT_A_DIRECT_FUNCTION_CALL
EDGE-037,SPLIT_GOVERNANCE,VARIABLE_ROLE_UNIVERSE,documented or artifact-mediated relation,UNKNOWN_OR_INDIRECT,No direct source edge asserted,UNKNOWN,Frozen C0 code carries task-specific lineage constants; it does not call the RCC representative split guard.,UNKNOWN,DOCUMENTED_POLICY_EDGE
EDGE-038,DETERMINISTIC_VERIFIER,COMMON42_FREEZE,documented or artifact-mediated relation,UNKNOWN_OR_INDIRECT,No direct source edge asserted,UNKNOWN,Utility V4 consumes executable-equivalence/evidence manifests rather than PreparedValidityResultV2 objects directly.,UNKNOWN,ARTIFACT_MEDIATED
EDGE-039,RULE_DSL,COMMON42_FREEZE,documented or artifact-mediated relation,UNKNOWN_OR_INDIRECT,No direct source edge asserted,UNKNOWN,COMMON-42 runtime uses CanonicalRuleDescriptorV4; direct DelayedResponseRuleV1 consumption was not found.,UNKNOWN,REPRESENTATION_BOUNDARY
EDGE-040,RULE_RUNTIME,SATISFACTION_TRACE,documented or artifact-mediated relation,UNKNOWN_OR_INDIRECT,No direct source edge asserted,UNKNOWN,Real D1 emits a trace hash payload but not canonical RuntimeTraceV1.,UNKNOWN,PARTIAL
EDGE-041,SATISFACTION_TRACE,EXPLANATION_RENDERER,documented or artifact-mediated relation,UNKNOWN_OR_INDIRECT,No direct source edge asserted,UNKNOWN,No real D1 caller of render_delayed_response_explanation was found.,UNKNOWN,CANONICAL_VERTICAL_SLICE_ONLY
EDGE-042,T0_TEMPLATE,COMMON42_FREEZE,documented or artifact-mediated relation,UNKNOWN_OR_INDIRECT,No direct source edge asserted,UNKNOWN,Construction-to-COMMON lineage is represented through frozen public equivalence artifacts rather than a direct code call.,UNKNOWN,ARTIFACT_MEDIATED
EDGE-043,T1_ONE_SHOT,COMMON42_FREEZE,documented or artifact-mediated relation,UNKNOWN_OR_INDIRECT,No direct source edge asserted,UNKNOWN,No direct object edge; frozen equivalence authority must prove the relation.,UNKNOWN,ARTIFACT_MEDIATED
EDGE-044,T1B_REPEAT,COMMON42_FREEZE,documented or artifact-mediated relation,UNKNOWN_OR_INDIRECT,No direct source edge asserted,UNKNOWN,No direct object edge; frozen equivalence authority must prove the relation.,UNKNOWN,ARTIFACT_MEDIATED
EDGE-045,T2_AGENTIC_FEEDBACK,COMMON42_FREEZE,documented or artifact-mediated relation,UNKNOWN_OR_INDIRECT,No direct source edge asserted,UNKNOWN,No direct object edge; frozen equivalence authority must prove the relation.,UNKNOWN,ARTIFACT_MEDIATED
