claim_id,claim_text,claim_type,status,supporting_evidence,contradicting_evidence,allowed_wording,forbidden_wording,validation_needed,scientific_source_ref,scientific_source_commit,linked_experiment_ids
CLAIM-A,The end-to-end HAI P1 INNER architecture has been implemented.,IMPLEMENTATION,SUPPORTED_IMPLEMENTATION,artifact:ART-IMPLEMENTATION-AUDIT,component:REPRODUCIBILITY,The pinned HAI P1 INNER architecture and its frozen execution paths were implemented.,The thesis method is fully validated or generalized.,Expanded independent evaluation remains required for performance and generalization claims.,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,EXP-01;EXP-02;EXP-03;EXP-04;EXP-05
CLAIM-B,Normal data can be processed into executable verified relational rules within the implemented pipeline.,IMPLEMENTATION,SUPPORTED_IMPLEMENTATION,artifact:ART-COMMON42;artifact:ART-NUMERIC-AUTHORITY-RECEIPT,NONE,The implemented pipeline transformed confirmed normal-data relation evidence into frozen executable rules under deterministic authority controls.,The pipeline discovered physically true or causal rules.,Broader datasets and rule families require separate preregistration and evaluation.,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,EXP-02;EXP-03
CLAIM-C,The deterministic verifier checks structural evidence-bound parameter split and execution-contract validity.,IMPLEMENTATION,SUPPORTED_IMPLEMENTATION,component:DETERMINISTIC_VERIFIER;artifact:ART-COMMON42,NONE,VerifierV1 deterministically checks its canonical contract; VALIDATION V2 executable eligibility is separately governed by Formal V4 validity replay numeric binding portfolio-freeze runtime-authorization and custody controls.,VerifierV1 directly authorizes V4 runtime or scientifically proves the rule or a causal relation.,Scientific utility remains a separate evaluation question; Formal V4 does not establish causal or physical truth.,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,EXP-03;EXP-05
CLAIM-D,Fixed-rule runtime execution is LLM-free and deterministic given frozen rule reference and input authorities.,IMPLEMENTATION,SUPPORTED_IMPLEMENTATION,component:RULE_RUNTIME;artifact:ART-D1-PREDICTION,component:REPRODUCIBILITY,Given frozen Formal V4 descriptor validity numeric-reference portfolio runtime-authorization and input authorities the fixed-rule VALIDATION V2 runtime evaluates without an LLM and produces deterministic traces.,All current or future research runtime modes are LLM-free or Canonical VerifierV1 directly authorizes the V4 runtime.,Fresh-machine scientific reproduction remains custody-blocked and is needed for portability evidence.,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,EXP-04;EXP-05;EXP-06
CLAIM-E,GDN provides stable unique functionally useful relations beyond META and STAT.,SCIENTIFIC_CONTRIBUTION,DEVELOPMENT_NOT_SUPPORTED,artifact:ART-GDN-RULE-SIDECAR;artifact:ART-EXP01-RESULT;artifact:ART-EXP01B-RESULT,experiment:EXP-01;experiment:EXP-01B,EXP-01/01B 음성 결과 유지. 별도 EXP-01C는 LEARNED_GRAPH_SUPPORTING이며2pair의 일부 horizon이 V2A와 겹친다. GDN은 primary discovery나 detector가 아니다.,GDN is generally useless;GDN improves attack detection;GDN discovers causal or physical ground truth;Graph-Guided contribution is validated.,DG-04 최종 표현 검토. 현재 task는 새 GDN 실험을 허용하지 않는다.,validation-v2-gdn-front-exp04-001,94ae44dac900cce75ed83ee2801be38750afed4a,EXP-01;EXP-01B
CLAIM-F,Agentic verifier feedback improves rule quality.,SCIENTIFIC_CONTRIBUTION,NOT_SUPPORTED,artifact:ART-CONSTRUCTION-ANALYSIS,experiment:EXP-03;artifact:ART-EXP03-LIVE-RESULT,PILOT V1의 feedback 미관찰 결론은 그대로 보존한다. VALIDATION V2: 자연 cohort에서 feedback이 발생하지 않아 Agentic feedback 이점을 관찰하지 못했다.,Agentic feedback improved rule quality or optimized performance.,DG-04 final contribution framing; do not infer benefit from synthetic fixtures or equal acceptance.,validation-v2-exp03-provider-exec-001,9e0c669d5efa03afcd13342fa1fc3dbc8ba8f3f4,EXP-03
CLAIM-G,V2A Rule-only는 test1 개발 평가에서 detector와 다른 event 반응을 보였다.,UTILITY,DEVELOPMENT_SUPPORTED,artifact:ART-FRONT-EXP04;artifact:ART-FRONT-QA,NONE,Rule-only 반응은 PCA미탐2/3 및 IF미탐6/9이다. 고정 fusion의 실제 회수는 둘다0이다.,Rule-only generally complements or outperforms the detector.,Independent expanded-event and held-out evaluation are required.,validation-v2-gdn-front-exp04-001,94ae44dac900cce75ed83ee2801be38750afed4a,EXP-04
CLAIM-H,Rule-only is operationally useful.,UTILITY,UNVALIDATED,artifact:ART-FRONT-EXP04,experiment:EXP-04,V2A Rule-only는11/14이나 정상 FAR37.6095/hour로 운영 효용은 미검증이다.,Rule-only is operationally deployable or practically useful as is.,A preregistered operational evaluation needs acceptable false-alarm criteria expanded events and held-out evidence.,validation-v2-gdn-front-exp04-001,94ae44dac900cce75ed83ee2801be38750afed4a,EXP-04
CLAIM-I,Detector plus Rule improves detection performance.,UTILITY,DEVELOPMENT_NOT_SUPPORTED,artifact:ART-FRONT-EXP04;artifact:ART-FRONT-QA,experiment:EXP-04,두 V2 frozen confirm2 fusion은 기준 detector Recall을 개선하지 못하고 정상false episodes를2개씩 늘렸다. V1 음성 결과도 보존한다.,Detector-plus-Rule improves detection or fusion can never work.,Any broader claim requires a new preregistered policy and independent data.,validation-v2-gdn-front-exp04-001,94ae44dac900cce75ed83ee2801be38750afed4a,EXP-04
CLAIM-J,Held-out generalization has been demonstrated.,GENERALIZATION,NOT_SUPPORTED,artifact:ART-OUTER-BLOCKER,component:OUTER_EVALUATION,Held-out generalization remains unconfirmed because no OUTER scientific result is available.,The method generalizes to held-out attacks or OUTER performance failed.,A newly authorized preregistered held-out study with valid custody is required.,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,EXP-04
CLAIM-K,The explanation faithfully reproduces frozen rule and runtime-trace information.,IMPLEMENTATION,DEVELOPMENT_SUPPORTED,artifact:ART-FRONT-EXP05;artifact:ART-FRONT-QA,NONE,실제6418trace 전체에서11개 automated structural checks가 PASS했다. GDN clauses130개는 원래 outcome을 바꾸지 않았다.,All explanations are scientifically faithful complete or useful to humans.,다른 corpus 일반화 및 human usefulness는 별도 검증이다.,validation-v2-gdn-front-exp04-001,94ae44dac900cce75ed83ee2801be38750afed4a,EXP-05
CLAIM-L,The explanation improves human understanding or operations.,HUMAN_EVALUATION,UNVALIDATED,component:EXPLANATION_RENDERER,experiment:EXP-05,A trace-grounded explanation interface is implemented; human usefulness has not been evaluated.,The explanations improve understanding diagnosis trust or operations.,A separate human or expert evaluation is required if this becomes thesis-essential.,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,EXP-05
CLAIM-M,The discovered relations are causal or root-cause relationships.,SCIENTIFIC_CONTRIBUTION,NOT_SUPPORTED,artifact:ART-CLAIM-AUDIT,component:GDN_DISCOVERY;component:RELATION_PROFILING,The system records bounded temporal relation evidence and trace-grounded violations without causal attribution.,The graph identifies causes causal relations or root causes.,Causal wording requires a separate causal design and evidence authority not present here.,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,EXP-01;EXP-02
CLAIM-N,The method generalizes across HAI 23.05 test2 and HAI 22.04/21.03 releases.,GENERALIZATION,UNVALIDATED,artifact:ART-EVAL-EXPANSION,component:REPRODUCIBILITY,A version-separated preregistered evaluation plan exists; no new attack panel result exists.,The 146 nominal scenarios prove pooled or IID generalization.,Complete compatibility normal-only re-instantiation DG-05 one-shot panels and version-specific integrity audits.,validation-v2-eval-expansion-001,d1489b67618b1e307a31a15ccb27d6dad57795c4,EXP-H23-HOLDOUT;EXP-H22-XVER;EXP-H21-XVER
