path,symbol,component,role,parameters,returns,caller,callee,runtime_authority,deterministic,label_access,trace_output,artifact_output,tests,frozen_use
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,execute_authorized_inner_d1_v1,D1_RULE_ONLY,one-shot real INNER coordinator,none,InnerD1ExecutionOutcomeV1,authorized task entrypoint,authority loading; feature load; census; execute_real_rule_v1; prediction; labels; metrics,committed grant plus V4 evaluator bundle,yes,after prediction validation,run and prediction hashes,public result reports,tests/test_task039e3_r2r_utility_inner_d1_execution_v1.py;independent.py,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,_load_public_authorities_v1,RULE_RUNTIME,replay V4 and evaluator authority,none,authority and bundle,execute_authorized_inner_d1_v1,V4/public authority loaders,exact frozen hashes,yes,no,no,none,authority tests,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,build_real_private_numeric_resolver_v1,RULE_RUNTIME,materialize process-local numeric resolver,bundle plus private authority documents,RealPrivateNumericResolverV1,execute_authorized_inner_d1_v1,strict registry validation,420 relation roles plus source census,yes,no,no,none,execution and independent tests,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,enumerate_real_full_census_v1,RULE_RUNTIME,derive retained isolated events and opportunities,feature frame; bundle; resolver,RealFullCensusResultV1,execute_authorized_inner_d1_v1,v3 event derivation plus V4 opportunity builder,V4 source census and COMMON descriptors,yes,no,event and census identities,census hash,execution; evaluator census; integrity tests,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,execute_real_rule_v1,RULE_RUNTIME,evaluate one opportunity,envelope; census; frame; bundle; resolver,RealRuleExecutionResultV1,execute_authorized_inner_d1_v1,V4 validation and transition helpers,V4 descriptor plus ten references,yes,no,task-specific trace hash,rule result record,execution; evaluator rule-state; differential tests,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,_real_rule_result_v1,SATISFACTION_TRACE,create terminal task result and trace hash,state; alarm; decision; references,RealRuleExecutionResultV1,execute_real_rule_v1,stable_hash_v1,task execution plane,yes,no,task trace hash,process-local result,execution and integrity mutation tests,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,build_scientific_rule_prediction_artifact_v1,D1_RULE_ONLY,freeze ordered result records,token; census; results,ScientificRulePredictionArtifactV1,execute_authorized_inner_d1_v1,payload hashing and factory custody,grant; V4; census; bridge,yes,no,6031 trace hashes,prediction artifact object,execution and integrity tests,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,validate_scientific_rule_prediction_artifact_v1,RESULT_INTEGRITY,replay prediction custody,prediction,artifact hash,build and label loader,payload replay,factory and artifact authority,yes,before label open,validates trace-hash fields,none,execution and integrity tests,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,_load_real_label_custody_v1,RESULT_INTEGRITY,open labels after prediction gate,token; prediction; timestamps; label path,RealLabelEventCustodyV1,execute_authorized_inner_d1_v1,prediction validation; label parser; episode formation,committed D1 grant and label hash,yes,yes after prediction validation,no,label custody kept private,execution and integrity tests,yes
src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,form_alarm_episodes_v1,EPISODE_CONSTRUCTION,deduplicate and merge alarm seconds,raw alarm indices,tuple of IntervalV1,label custody and metric audit,strict integer validation,metric policy,yes,no,no,episode tuple,metric tests,yes
src/paperworks/contracts/runtime_v1.py,execute_delayed_response_rule,RULE_RUNTIME,canonical RuleV1 runtime,RuntimeAuthorizationBundleV1; window,RuntimeExecutionOutcomeV1,canonical vertical slice,_make_trace,canonical runtime authorization,yes,no,RuntimeTraceV1,canonical outcome,tests/test_task032e_runtime_v1.py,no
src/paperworks/contracts/runtime_v1.py,_make_trace,SATISFACTION_TRACE,materialize nine-step canonical trace,authorization; window; terminal facts,RuntimeTraceV1,execute_delayed_response_rule,parse_runtime_trace,canonical RuleV1 plane,yes,no,full canonical trace,trace artifact,tests/test_task032e_runtime_v1.py,no
src/paperworks/contracts/explanation_v1.py,render_delayed_response_explanation,EXPLANATION_RENDERER,render canonical trace-grounded explanation,authorization; execution; window,ExplanationRecordV1,canonical vertical slice,trace and authority validators,canonical RuleV1 plane,yes,no,requires RuntimeTraceV1,explanation artifact,tests/test_task032e_explanation_v1.py,no
