artifact_id,produced_by_component,produced_by_entrypoint,input_artifacts,output_role,consumed_by,source_commit,frozen,audited,private_public,safe_reference,verified
ART-RAW-DATA-CUSTODY,DATA_PROVENANCE,src/paperworks/data/hai_provenance_v1.py::build_hai_dataset_manifest_v2,approved HAI source metadata; authorized local file identities,symbolic private data-custody and dataset-manifest authority,SPLIT_GOVERNANCE; VARIABLE_ROLE_UNIVERSE; D0_PCA_SPE; D1_RULE_ONLY,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,false,PRIVATE_SYMBOLIC_ONLY,LOCAL_DATA_CUSTODY,SYMBOLIC_ONLY
ART-P1-ROLE-UNIVERSE,VARIABLE_ROLE_UNIVERSE,src/paperworks/candidates/universe.py::build_candidate_universe,reviewed P1 variable-role metadata; candidate mask policy,frozen 12-source by 12-target pair universe and three-arm protocol binding,META_DISCOVERY; STAT_DISCOVERY; GDN_DISCOVERY; CANDIDATE_UNION,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE,docs/task_reports/TASK-039C0_PROTOCOL_BUNDLE.json,VERIFIED
ART-META-RESULT,META_DISCOVERY,scripts/run_task039c_meta.py::main -> rank_supported_metadata_records_v1,ART-P1-ROLE-UNIVERSE; reviewed metadata records,public top-K metadata candidate ranking with no feature-value access,CANDIDATE_UNION,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE,docs/task_reports/TASK-039C_META_RESULT.json,VERIFIED
ART-STAT-RESULT,STAT_DISCOVERY,scripts/run_task039c_stat.py::main -> rank_pair_evidence_v1,ART-P1-ROLE-UNIVERSE; authorized normal train1/train2 values,public top-K lagged statistical candidate ranking and private-ledger hash,CANDIDATE_UNION,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_WITH_PRIVATE_HASH,docs/task_reports/TASK-039C_STAT_RESULT.json,VERIFIED
ART-GDN-RESULT,GDN_DISCOVERY,scripts/run_task039c_gdn.py::main -> train_upstream_aligned_seed_v1,ART-P1-ROLE-UNIVERSE; candidate mask; authorized normal train1/train2 values; upstream fidelity receipt,public three-seed graph candidate ranking and private seed-ledger hashes,CANDIDATE_UNION,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_WITH_PRIVATE_HASHES,docs/task_reports/TASK-039C_GDN_RESULT.json,VERIFIED
ART-CANDIDATE-COHORT,CANDIDATE_UNION,scripts/run_task039c_integration.py::main -> build_task039c_integration_v1,ART-META-RESULT; ART-STAT-RESULT; ART-GDN-RESULT; ART-P1-ROLE-UNIVERSE,unscored provenance-preserving union used as relation-profiling cohort,RELATION_PROFILING; TASK-039D0 protocol freeze,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json,VERIFIED
ART-D1-FIT-RESULT,RELATION_PROFILING,scripts/run_task039d1_fit_profiling.py::main -> build_fit_result_v1,ART-CANDIDATE-COHORT; authorized normal fitting values,public relation-fit identities/summaries bound to private fitting ledgers,ART-TRAIN3-CONFIRMATION,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_WITH_PRIVATE_HASHES,docs/task_reports/TASK-039D1_FIT_RESULT.json,VERIFIED
ART-TRAIN3-CONFIRMATION,RELATION_PROFILING,scripts/run_task039d2_confirmation.py::main -> confirm_relations_one_way_v1/build_result_v1,ART-D1-FIT-RESULT; ART-CANDIDATE-COHORT; authorized one-way normal train3 values,public one-way directional confirmation result with private ledger binding,ART-CONFIRMED-RELATIONS; TASK-039E0 protocol freeze,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_WITH_PRIVATE_HASH,docs/task_reports/TASK-039D2_RESULT.json,VERIFIED
ART-CONFIRMED-RELATIONS,RELATION_PROFILING,scripts/freeze_task039e0_rule_construction_protocol.py::main,ART-TRAIN3-CONFIRMATION; TASK-039E0 validity and construction policies,ordered public identity cohort of confirmed directed relations without private numeric values,EVIDENCE_PACK; ART-CONSTRUCTION-EVIDENCE; COMMON42_FREEZE,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE,docs/task_reports/TASK-039E0_CONFIRMED_RELATION_COHORT.json,VERIFIED
ART-CONSTRUCTION-EVIDENCE,EVIDENCE_PACK,scripts/run_task039e1_evidence_materialization.py::main,ART-CONFIRMED-RELATIONS; normal-only fit summaries; approved numeric evidence bundles,public evidence cohort/manifest binding typed construction evidence to a private ledger,T0_TEMPLATE; T1_ONE_SHOT; T1B_REPEAT; T2_AGENTIC_FEEDBACK; DETERMINISTIC_VERIFIER,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_WITH_PRIVATE_LEDGER_HASH,docs/task_reports/TASK-039E1_CONSTRUCTION_EVIDENCE_COHORT.json,VERIFIED
ART-CONSTRUCTION-ANALYSIS,T0_TEMPLATE,scripts/analyze_task039e3_r2r_scientific_result_v1.py::main,T0/T1/T1-B/T2 frozen construction outcomes; private paired-matrix hash,public aggregate construction-arm pilot synthesis,PROFESSOR_REPORTING; THESIS_DRAFT; RCC,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_WITH_PRIVATE_HASH,docs/task_reports/TASK-039E3_R2R_RESULT_ANALYSIS_CONSTRUCTION.json,VERIFIED_AGGREGATE_ONLY
ART-COMMON42,COMMON42_FREEZE,src/paperworks/v6/task039e3_r2r_utility_protocol_v4.py::build_common42_public_authority_v4,ART-CONSTRUCTION-EVIDENCE; ART-CONFIRMED-RELATIONS; historical private rule-ledger hash; executable-equivalence authority,public metadata authority for one shared 42-rule executable portfolio; no numeric values or private mapping,NUMERIC_AUTHORITY; RULE_RUNTIME; D1_RULE_ONLY,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_METADATA_OVER_PRIVATE_EXECUTABLE_CUSTODY,docs/task_reports/TASK-039E3_R2R_UTILITY_COMMON42_AUTHORITY_CHECK.json,VERIFIED
ART-NUMERIC-AUTHORITY-RECEIPT,NUMERIC_AUTHORITY,src/paperworks/v6/task039e3_r2r_utility_normal_only_authority_v1.py::materialize_normal_only_authority_v1,ART-COMMON42; authorized normal calibration inputs; materialization authorization,hash-only public receipt for the private runtime numeric resolver authority,ART-UTILITY-V4-AUTHORITY; D1_RULE_ONLY; RESULT_INTEGRITY,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_RECEIPT_FOR_PRIVATE_AUTHORITY,docs/task_reports/TASK-039E3_R2R_UTILITY_NORMAL_ONLY_AUTHORITY_V1_MATERIALIZED_RECEIPT.json,VERIFIED
ART-PRIVATE-SCIENTIFIC-CUSTODY,GOVERNANCE_OR_EXTERNAL,authorized custody-specific materializers,private numeric registries; D0 preprocessing/model/threshold; private score/metric evidence,symbolic umbrella for private scientific authorities; not a single payload,D0_PCA_SPE; D1_RULE_ONLY; RESULT_INTEGRITY,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,false,PRIVATE_SYMBOLIC_ONLY,PRIVATE_ARTIFACT_CUSTODY,SYMBOLIC_ONLY
ART-UTILITY-V4-AUTHORITY,COMMON42_FREEZE,src/paperworks/v6/task039e3_r2r_utility_protocol_v4.py::build_utility_protocol_v4_canonical_authority,ART-COMMON42; ART-NUMERIC-AUTHORITY-RECEIPT; canonical feature/census/metric policies,canonical metadata closure for D1 full-census evaluation,D1_RULE_ONLY,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE,docs/task_reports/TASK-039E3_R2R_UTILITY_PROTOCOL_V4_PROTOCOL_FREEZE.json,VERIFIED
ART-D0-DESIGN,GOVERNANCE_OR_EXTERNAL,src/paperworks/v6/task039e3_r2r_d0_detector_design_v1.py::build_d0_detector_design_v1,P1 feature schema; normal-only detector design policy,public frozen D0 PCA-SPE design and feature bindings,D0 training custody; D0_PCA_SPE; D0 result-integrity audit,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D0_DETECTOR_DESIGN_V1_DESIGN.json,VERIFIED
ART-D0-MODEL-THRESHOLD-RECEIPTS,GOVERNANCE_OR_EXTERNAL,src/paperworks/v6/task039e3_r2r_d0_detector_training_v1.py::execute_d0_normal_training_and_calibration_v1,ART-D0-DESIGN; authorized normal training custody,"public hashes/receipts binding private preprocessing, model, and threshold authorities",D0_PCA_SPE; D0 result-integrity audit,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_RECEIPT_FOR_PRIVATE_AUTHORITIES,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D0_TRAINING_V1_RECEIPT.json,VERIFIED
ART-D0-PREDICTION,D0_PCA_SPE,src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py::execute_authorized_d0_inner_v1,ART-D0-DESIGN; ART-D0-MODEL-THRESHOLD-RECEIPTS; authorized INNER feature authority,public label-blind point prediction authority; score vector represented only by content hash,D0 metrics stage; D2_V1; D2_V2; D0/D2 result-integrity audits; pilot comparison,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_LABEL_BLIND,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D0_DETECTOR_PREDICTION_ARTIFACT_V1.json,VERIFIED
ART-D0-METRICS,D0_PCA_SPE,src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py::execute_authorized_d0_inner_v1 -> metric_arithmetic_v1,ART-D0-PREDICTION reloaded after freeze; authorized label custody after prediction freeze; private metric evidence,sanitized D0 INNER pilot metric summary,RESULT_INTEGRITY; pilot comparison; PROFESSOR_REPORTING,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_METRIC_SUMMARY,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D0_METRICS_V1.json,VERIFIED
ART-D0-INTEGRITY,RESULT_INTEGRITY,scripts/audit_task039e3_r2r_d0_result_integrity_v1.py::main/run_audit_v1,ART-D0-PREDICTION; ART-D0-METRICS; frozen result commits; authorized audit-only private oracle inputs,public independent D0 result-integrity receipt without a replacement execution,RCC; PROFESSOR_REPORTING; THESIS_DRAFT,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D0_RESULT_INTEGRITY_V1_RECEIPT.json,VERIFIED
ART-D1-PREDICTION,D1_RULE_ONLY,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py::execute_authorized_inner_d1_v1,ART-COMMON42; ART-UTILITY-V4-AUTHORITY; private numeric resolver; authorized INNER feature authority,public label-blind COMMON-42 full-census prediction authority,D1 metrics stage; D2_V1; D2_V2; D1/D2 result-integrity audits; pilot comparison,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,PUBLIC_SAFE_LABEL_BLIND,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D1_RULE_PREDICTION_ARTIFACT_V1.json,VERIFIED
