path,symbol,role,parameters,return_or_output,side_effects,caller,callee,split_assumptions,label_assumptions,error_behavior,test_coverage,frozen_execution_use
src/paperworks/data/hai_provenance_v1.py,build_hai_dataset_manifest_v2,Build verified public dataset authority,public audit records and pinned source metadata,DatasetManifestV2,None,provenance task,DatasetManifestV2,exact approved HAI 23.05 file population,labels are separate records,HAIProvenanceError,tests/test_task039a_manifest_schemas.py,yes provenance
src/paperworks/data/hai_provenance_v1.py,audit_csv_structure,Validate headers timestamps row counts and process columns,file path and expected identity,HAICsvStructureAuditV1,reads one authorized file,provenance task,streaming_sha256,one physical file at a time,does not parse attack semantics,HAIProvenanceError,tests/test_task039a_csv_structure_audit.py,yes provenance
src/paperworks/data/contracts_v2.py,DatasetManifestV2.__post_init__,Validate dataset schema,dataclass fields,validated immutable contract,None,manifest construction,path and hash validators,all files identified before scientific use,label availability declared not inferred,DataContractV2Error,tests/test_task039a_manifest_schemas.py,yes authority
src/paperworks/data/contracts_v2.py,SplitManifestV2.__post_init__,Validate split metadata,role ranges purge and sealed status,validated split contract,None,split creation,range validators,split before windowing,non-sealed labels governed downstream,DataContractV2Error,tests/test_task039p1a_splits_v2.py,yes split authority
src/paperworks/data/splits_v2.py,assert_operation_permitted_v2,Map operation to allowed split role,operation and split,permission or exception,None,scientific caller,OPERATION_ROLE_V2,exact role match,labels not represented in this API,SplitPermissionV2Error,tests/test_task039p1a_splits_v2.py,indirect
src/paperworks/data/splits_v2.py,validate_split_collection_v2,Check ordering gaps and window separation,splits and WindowSpecV2,validated tuple,None,split construction,assert_purge_gap_sufficient_v2,file-level raw ranges and purge,label independent,SplitPolicyV2Error,tests/test_task039p1a_splits_v2.py,yes BR2 contracts
src/paperworks/data/splits_v2.py,generate_split_windows_v2,Generate windows inside raw ranges,split and window spec,index tuples,None,downstream windowing,validate_raw_ranges_v2,no cross-range windows,label independent,SplitPolicyV2Error,tests/test_task039p1a_splits_v2.py,contract path
src/paperworks/feasibility/hai_continuous_step_v1.py,verify_normal_file_records_v1,Bind normal files to manifest records,manifest audits and paths,verified file records,hashes authorized files,BR2 execution,verify_self_hash_v1,train1 through train3 normal records,requires label unavailable status,HAIContinuousStepError,tests/test_task039br2_real_execution.py,yes BR2
src/paperworks/feasibility/hai_continuous_step_v1.py,read_authorized_columns_v1,Read only reviewed process variables,verified file and allowed columns,finite column tuples,reads normal file once,execute_process_v1,csv reader,file-local one-second order,no label column allowed,HAIContinuousStepError,tests/test_task039br2_real_execution.py,yes P1 selection
src/paperworks/feasibility/hai_continuous_step_v1.py,create_selected_splits_v1,Freeze P1 split manifests,selected process and views,three SplitManifestV2 records,None,BR2 finalization,SplitManifestV2,train1+2 fit train3 calibration train4 guard,no labels,HAIContinuousStepError,tests/test_task039br2_contracts_and_boundaries.py,yes
src/paperworks/v6/candidate_discovery_protocol_v1.py,authorize_candidate_arm_value_access_v1,Enforce arm file scope,policy arm process and relative file,None,None,META STAT or GDN runner,policy lookup,train1 and train2 only for value arms,no labels or test files,CandidateDiscoveryProtocolError,tests/test_task039c0_candidate_protocol.py,yes candidate arms
