node_id,label_ko,subtitle_ko,lane_id,display_order,component_ids,expand_group_id,input_ko,process_ko,output_ko,easy_why_ko,next_work_source,audit_reports
NODE_HAI_P1,HAI P1 데이터,출처와 데이터 신원,LANE_DATA_DISCOVERY,1,DATA_PROVENANCE,NONE,승인된 HAI 23.05 source metadata와 파일 identity,공개 가능한 provenance와 manifest를 고정,P1 데이터 계약과 local-only custody 경계,모든 후속 결과가 어느 데이터 판본에서 나왔는지 추적하기 위해 필요하다.,components.csv:DATA_PROVENANCE.next_action,architecture/01_data_and_splits/ARCH_001_REPORT.md
NODE_SPLIT_ROLES,Split·변수 역할,데이터 사용 권한과 144-pair 범위,LANE_DATA_DISCOVERY,2,SPLIT_GOVERNANCE;VARIABLE_ROLE_UNIVERSE,NONE,P1 feature metadata와 split manifest,train1~train4/test1/test2 역할과 source/target universe를 검증,12 source × 12 target = 144 directed pairs와 split별 허용 작업,정상 근거 구성과 label-aware 평가가 섞이지 않게 사용 범위를 제한한다.,components.csv:SPLIT_GOVERNANCE.next_action,architecture/01_data_and_splits/ARCH_001_REPORT.md;architecture/02_candidate_discovery/ARCH_002_REPORT.md
NODE_CANDIDATE_DISCOVERY,관계 후보 탐색,META / STAT / GDN,LANE_DATA_DISCOVERY,3,META_DISCOVERY;STAT_DISCOVERY;GDN_DISCOVERY,GROUP_CANDIDATE_ARMS,공통 144-pair universe와 arm별 허용 normal evidence,"서로 분리된 META, STAT, GDN ranking",각 arm Top-20 후보,서로 다른 후보 근거를 비교하되 원인·확정 관계로 과장하지 않기 위해 필요하다.,components.csv:GDN_DISCOVERY.next_action,architecture/02_candidate_discovery/ARCH_002_REPORT.md
NODE_CANDIDATE_UNION,Candidate Union,47개 후보 pair,LANE_DATA_DISCOVERY,4,CANDIDATE_UNION,NONE,"META 20, STAT 20, GDN 20",점수 재정렬 없이 provenance를 보존한 set union,47 unique candidate pairs,후보 선정 근거를 잃지 않고 profiling 대상으로 전달한다.,components.csv:CANDIDATE_UNION.next_action,architecture/02_candidate_discovery/ARCH_002_REPORT.md
NODE_RELATION_PROFILING,Relation Profiling,정상 지연 반응 확인,LANE_RELATION_RULE,5,RELATION_PROFILING,NONE,47 candidate pairs와 normal train1/train2,"source event, fixed horizons, support·consistency·effect profiling 후 train3 one-way confirmation","23 pair contexts, 42 confirmed directions",후보를 정상 데이터에서 반복 관찰된 실행 가능 관계로 좁힌다.,components.csv:RELATION_PROFILING.next_action,architecture/03_relation_and_numeric/ARCH_003_REPORT.md
NODE_NUMERIC_AUTHORITY,Numeric Authority,정상 전용 수치 권한,LANE_RELATION_RULE,6,NUMERIC_AUTHORITY,NONE,confirmed relation과 허용된 normal-only statistics,construction/runtime reference를 별도 authority identity로 결속,42×11 construction bindings와 42×10 runtime records,LLM이 임의의 수치를 만들지 못하게 실행 숫자의 출처를 고정한다.,components.csv:NUMERIC_AUTHORITY.next_action,architecture/03_relation_and_numeric/ARCH_003_REPORT.md
NODE_RULE_CONSTRUCTION,Rule Construction,Evidence Pack·T0·T1·T1-B·T2,LANE_RELATION_RULE,7,EVIDENCE_PACK;RULE_DSL;T0_TEMPLATE;T1_ONE_SHOT;T1B_REPEAT;T2_AGENTIC_FEEDBACK,GROUP_RULE_ARMS,42 confirmed relation views와 승인된 numeric references,closed proposal DSL로 template 또는 bounded LLM proposal을 생성,"T0 42/42, T1 42/42, T1-B 42/42, T2 39/42 proposals",관계 근거를 제한된 구조의 Rule 후보로 표현한다.,components.csv:T2_AGENTIC_FEEDBACK.next_action,architecture/04_rule_construction/ARCH_004_REPORT.md
NODE_VERIFIER,Deterministic Verifier,결정론적 계약 점검,LANE_RELATION_RULE,8,DETERMINISTIC_VERIFIER;RULE_DSL,NONE,parsed rule proposal와 evidence/reference bindings,VerifierV1 canonical 계약을 점검하며 V2 실행 적격성은 별도 Formal V4 validity·replay·numeric binding·portfolio freeze·runtime authorization이 결정,accepted / needs_repair / rejected,VerifierV1은 인접 canonical component이며 V4 직접 실행 권한이나 과학적 진실을 부여하지 않는다.,components.csv:DETERMINISTIC_VERIFIER.next_action,architecture/05_verifier_common42/ARCH_005_REPORT.md
NODE_COMMON42,COMMON-42,V4 실행 descriptor portfolio,LANE_RELATION_RULE,9,COMMON42_FREEZE,NONE,42 confirmed relations와 executable-equivalent T0/T1/T1-B projection,V4 descriptor와 normal runtime authority를 freeze,42 CanonicalRuleDescriptorV4 objects,D1에서 실제 실행한 공통 고정 Rule portfolio를 보존한다.,components.csv:COMMON42_FREEZE.next_action,architecture/05_verifier_common42/ARCH_005_REPORT.md
NODE_D0,D0 PCA-SPE,단순 기준 detector,LANE_RUNTIME_DETECTION,10,D0_PCA_SPE,NONE,"37 P1 features; normal train1/train2 fit, train3 calibration, test1 prediction",표준화·PCA residual·SPE·q=.999 threshold,timestamp별 Boolean D0 alarm,Rule 방법과 비교할 단순하고 결정론적인 정상 전용 reference detector다.,components.csv:D0_PCA_SPE.next_action,architecture/07_d0_detector/ARCH_007_REPORT.md
NODE_D1,D1 관계 규칙,검증된 관계 규칙 단독 방식,LANE_RUNTIME_DETECTION,11,RULE_RUNTIME;SATISFACTION_TRACE;D1_RULE_ONLY,NONE,"COMMON-42, Utility V4 numeric authority, test1 features",LLM-free fixed-rule trigger/response evaluation과 unique alarm-second aggregation,"6,031 opportunities, 788 anomalous records, 630 unique alarm seconds",관계 Rule 자체가 공격 구간에 반응하는지 분리해서 본다.,components.csv:D1_RULE_ONLY.next_action,architecture/06_runtime_trace_explanation/ARCH_006_REPORT.md;architecture/08_d1_rule_only/ARCH_008_REPORT.md
NODE_D2,D2 결합,D0 보존형 V1·V2 정책,LANE_RUNTIME_DETECTION,12,D2_V1;D2_V2,NONE,frozen D0 Boolean prediction과 frozen D1 alarm evidence,D0 alarm을 보존하고 multi-source D1 조건을 만족한 timestamp만 추가,D2 V1/V2 combined per-second predictions,D1의 다른 반응이 D0의 miss를 안전하게 보완하는지 시험한다.,components.csv:D2_V2.next_action,architecture/09_d2_fusion/ARCH_009_REPORT.md
NODE_METRICS_INTEGRITY,Metrics·Result Integrity,공통 Recall/FAR와 결과 무결성,LANE_EVALUATION_VALIDATION,13,EPISODE_CONSTRUCTION;ATTACK_EVENT_RECALL;NORMAL_FAR;RESULT_INTEGRITY,NONE,D0/D1/D2 alarm seconds와 test1 label authority,"episode grouping, 14 contiguous attack-event-unit hit, normal FAR/hour, artifact integrity checks",frozen pilot result table와 identity/arithmetic audit,구조가 다른 방법을 공통 지표로 비교하고 숫자의 custody와 산술을 확인한다.,components.csv:RESULT_INTEGRITY.next_action,architecture/10_metrics_integrity/ARCH_010_REPORT.md
NODE_OUTER_REPRO,OUTER·재현성,held-out과 새 환경 독립 재현,LANE_EVALUATION_VALIDATION,14,OUTER_EVALUATION;REPRODUCIBILITY,NONE,"PILOT V1 artifacts, environment contracts, future preregistered study identity",traceability·same-machine·fresh-machine·held-out governance를 분리 평가,old OUTER result unavailable; new held-out preregistration required,현재 pilot이 다른 환경과 새로운 데이터에서도 성립하는지 별도로 검증해야 한다.,components.csv:OUTER_EVALUATION.next_action,architecture/11_outer_reproducibility/ARCH_011_REPORT.md
