entrypoint_id,name,path,symbol,purpose,calls,called_by,scientific_or_governance,executed_in_frozen_result,status,notes
EP-DATA-AUDIT,Data Audit,scripts/audit_hai_2305.py,main,Current For Provenance,See source and dataflow maps,task driver or local operator,GOVERNANCE,false,CURRENT_FOR_PROVENANCE,Static entrypoint identity; no execution performed by ARCH-000
EP-C0-FREEZE,C0 Freeze,scripts/freeze_task039c0_candidate_protocol.py,main,Frozen,See source and dataflow maps,task driver or local operator,GOVERNANCE,true,FROZEN,Static entrypoint identity; no execution performed by ARCH-000
EP-META,Meta,scripts/run_task039c_meta.py,main,Execution Driver,See source and dataflow maps,task driver or local operator,SCIENTIFIC,true,EXECUTION_DRIVER,Static entrypoint identity; no execution performed by ARCH-000
EP-STAT,Stat,scripts/run_task039c_stat.py,main,Execution Driver,See source and dataflow maps,task driver or local operator,SCIENTIFIC,true,EXECUTION_DRIVER,Static entrypoint identity; no execution performed by ARCH-000
EP-GDN,Gdn,scripts/run_task039c_gdn_remediation.py,main,Multiple Historical Drivers Exact Final Requires Lineage Audit,See source and dataflow maps,task driver or local operator,SCIENTIFIC,false,MULTIPLE_HISTORICAL_DRIVERS_EXACT_FINAL_REQUIRES_LINEAGE_AUDIT,Static entrypoint identity; no execution performed by ARCH-000
EP-C-INTEGRATION,C Integration,scripts/run_task039c_integration.py,main,Execution Driver,See source and dataflow maps,task driver or local operator,SCIENTIFIC,true,EXECUTION_DRIVER,Static entrypoint identity; no execution performed by ARCH-000
EP-D1-FIT,D1 Fit,scripts/run_task039d1_fit_profiling.py,main,Execution Driver,See source and dataflow maps,task driver or local operator,SCIENTIFIC,true,EXECUTION_DRIVER,Static entrypoint identity; no execution performed by ARCH-000
EP-D2-CONFIRM,D2 Confirm,scripts/run_task039d2_confirmation.py,main,Execution Driver,See source and dataflow maps,task driver or local operator,SCIENTIFIC,true,EXECUTION_DRIVER,Static entrypoint identity; no execution performed by ARCH-000
EP-E1-MATERIALIZE,E1 Materialize,scripts/run_task039e1_evidence_materialization.py,main,Execution Driver,See source and dataflow maps,task driver or local operator,SCIENTIFIC_WITH_CUSTODY,true,EXECUTION_DRIVER,Static entrypoint identity; no execution performed by ARCH-000
EP-E3-CONSTRUCT,E3 Construct,scripts/run_task039e3_r2r_scientific_execution_v1.py,main,Live Injected Execution Driver,See source and dataflow maps,task driver or local operator,SCIENTIFIC_WITH_GOVERNANCE,false,LIVE_INJECTED_EXECUTION_DRIVER,Static entrypoint identity; no execution performed by ARCH-000
EP-D0,D0,src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,execute_authorized_d0_inner_v1,Public No Argument Function,See source and dataflow maps,task driver or local operator,SCIENTIFIC_WITH_GOVERNANCE,false,PUBLIC_NO_ARGUMENT_FUNCTION,Static entrypoint identity; no execution performed by ARCH-000
EP-D1,D1,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,execute_authorized_inner_d1_v1,Public No Argument Function,See source and dataflow maps,task driver or local operator,SCIENTIFIC_WITH_GOVERNANCE,false,PUBLIC_NO_ARGUMENT_FUNCTION,Static entrypoint identity; no execution performed by ARCH-000
EP-D2V1,D2 V1 authorized recovery,src/paperworks/v6/task039e3_r2r_d2_inner_execution_recovery_v1.py,execute_authorized_d2_inner_recovery_v1,Completes the frozen V1 result while reusing original preregistered scientific semantics,See source and result-lineage maps,local authorized recovery task,SCIENTIFIC_WITH_GOVERNANCE,true,FROZEN_RESULT_ENTRY,Original execute_authorized_d2_inner_v1 remains the infrastructure-aborted historical attempt and reused semantic source
EP-D2V2,D2V2,src/paperworks/v6/task039e3_r2r_d2_v2_inner_execution_v1.py,execute_authorized_d2_v2_inner_v1,Public No Argument Function,See source and dataflow maps,task driver or local operator,SCIENTIFIC_WITH_GOVERNANCE,false,PUBLIC_NO_ARGUMENT_FUNCTION,Static entrypoint identity; no execution performed by ARCH-000
EP-D0-AUDIT,D0 Audit,scripts/audit_task039e3_r2r_d0_result_integrity_v1.py,run_audit_v1/main,Independent,See source and dataflow maps,task driver or local operator,AUDIT,false,INDEPENDENT,Static entrypoint identity; no execution performed by ARCH-000
EP-D1-AUDIT,D1 Audit,scripts/audit_task039e3_r2r_utility_inner_d1_result_integrity_v1.py,main,Independent,See source and dataflow maps,task driver or local operator,AUDIT,false,INDEPENDENT,Static entrypoint identity; no execution performed by ARCH-000
EP-D2V1-AUDIT,D2V1 Audit,scripts/audit_task039e3_r2r_d2_result_integrity_v1.py,run_audit_v1/main,Independent,See source and dataflow maps,task driver or local operator,AUDIT,false,INDEPENDENT,Static entrypoint identity; no execution performed by ARCH-000
EP-OUTER-RECOVERY,Outer Recovery,src/paperworks/v6/task039e3_r2r_outer_d0_d1_d2v1_execution_recovery_v1.py,RecoveryAttemptBoundaryV1,Blocker Only,See source and dataflow maps,task driver or local operator,GOVERNANCE,false,BLOCKER_ONLY,Static entrypoint identity; no execution performed by ARCH-000
