experiment_id,name,research_question,comparison,dataset_scope,status,current_evidence,result_scope,primary_metrics,limitations,next_action,claim_impact,scientific_source_ref,scientific_source_commit,linked_component_ids,artifact_refs
EXP-01,변수 관계 탐색 방법 비교,Do META STAT and corrected GDN contribute stable unique and functionally useful candidate relations?,META versus STAT versus historical and corrected GDN under frozen normal-only criteria,HAI 23.05 P1 normal train1-train4; no test or labels,EXECUTED_AUDITED_DEVELOPMENT,The frozen EXP-01 decision demoted GDN to ablation because primary mask pair count was zero and selected META_PLUS_STAT as the V2A discovery policy.,Normal-only contribution experiment; no attack detection or held-out result.,Seed and split stability; unique confirmed-relation contribution; masking and Top-K sensitivity,The negative result is scope-bound and does not establish that GDN is generally useless.,Use META_PLUS_STAT for V2A and preserve GDN only as an ablation unless a separately preregistered experiment qualifies.,Current EXP-01 evidence does not support GDN as the primary V2 discovery authority.,validation-v2-core-exp02,9cb47e0efb868048d4a523ec4cfaca53bd342ab7,META_DISCOVERY;STAT_DISCOVERY;GDN_DISCOVERY;CANDIDATE_UNION;RELATION_PROFILING,ART-EXP01-RESULT;ART-V2A-CANDIDATE;ART-V2A-COHORT
EXP-01B,GDN Prediction-XAI 추가 검증,Which GDN evidence arm most stably ranks normal-confirmed relations?,Embedding versus Attention versus EdgeMask versus Source Occlusion versus Functional-Consensus at equal budgets,HAI 23.05 P1 normal train1-train4; 144-pair arm-blind normal relation reference,EXECUTED_AUDITED_DEVELOPMENT,"Nine CUDA runs completed. At K=29 the augmented ranking moved confirmed-pair yield 20 to 21 and NDCG 0.7427828733 to 0.7628608206, but split stability, positive median EdgeMask, and unique executable-rule criteria failed.",Normal-only model-evidence comparison; not detection validation or causal ground truth.,Precision Recall NDCG and confirmed yield at K; seed and split Jaccard; EdgeMask and matched-random effect; Formal V4 rule conversion,Three GDN-unique confirmed pairs produced zero unique executable rule pairs; combined improvement did not hold across split views.,Keep GDN as ablation; do not create a primary V2B portfolio or generalize beyond this normal-only reference.,The frozen criteria do not support primary or supporting GDN contribution in this experiment.,validation-v2-exp01b-gdn-xai,9e2aad7ded63238f6300f282d0841671c7c14ce0,GDN_DISCOVERY;RELATION_PROFILING;CANDIDATE_UNION,ART-EXP01B-RESULT;ART-EXP01B-LINEAGE;ART-EXP01B-REPORT
EXP-02,규칙 수치 기준 비교,Which preregistered normal-only numeric policy best satisfies the frozen train4 selection rule?,One common fixed policy versus 36 relation-specific normal-only policies,HAI 23.05 P1 normal train1 train2 and train4; V2A 39-directional-relation cohort,EXECUTED_AUDITED_DEVELOPMENT,All 37 candidates were evaluated; 28 were eligible. The frozen rule selected RELATION_SPECIFIC_NORMAL_ONLY_V1:n7-q0.90-s2-f0.05 and froze a 39-rule Formal V4 V2A portfolio.,Normal-only selection only; attack utility and superiority remain unevaluated.,Normal false-alarm seconds and episodes; coverage; retention; abstain; split variability,Selection is normal-only and cannot establish test1 or held-out detection benefit.,Preserve the selected authority and completed EXP-04 result without retuning.,Numeric policy selection is supported under the frozen normal-only rule; detection utility remains unvalidated.,validation-v2-core-exp02,9cb47e0efb868048d4a523ec4cfaca53bd342ab7,RELATION_PROFILING;NUMERIC_AUTHORITY;EVIDENCE_PACK;RULE_RUNTIME,ART-EXP02-RESULT;ART-EXP02-POLICY;ART-V2A-PORTFOLIO
EXP-03,검증 피드백 기반 규칙 생성 비교,Does bounded verifier feedback improve rule construction over deterministic one-shot and budget-matched controls?,T0 versus T1 versus T1-B versus T2,Frozen V2A 39 directional relations; redacted normal identity projection only,EXECUTED_AUDITED_DEVELOPMENT,T0 39/39; T1 104/117; T1-B 115/117; T2 105/117; T2 feedback 0/117; repair NOT_OBSERVED (denominator=0),Reference-bound construction only; no dataset or detection evaluation,Accepted yield; no-rule count; issue distribution; feedback actions and recoveries; provider-call cost,자연 cohort에서 feedback이 발생하지 않아 Agentic feedback 이점을 관찰하지 못했다. Fixed confirmed inputs; synthetic stress is not natural repair evidence.,DG-04 — 최종 제목·Agentic 기여 표현 결정,Bounded construction executed; Agentic superiority not established; DG-04 required,validation-v2-exp03-provider-exec-001,9e0c669d5efa03afcd13342fa1fc3dbc8ba8f3f4,T0_TEMPLATE;T1_ONE_SHOT;T1B_REPEAT;T2_AGENTIC_FEEDBACK;DETERMINISTIC_VERIFIER,ART-EXP03-LIVE-RESULT;ART-CONSTRUCTION-ANALYSIS
EXP-04,검증된 관계 규칙의 이상탐지 성능 비교,Can verified rules detect attacks while controlling normal false-alarm episodes alone or with a detector?,D0 PCA-SPE; fixed Isolation Forest; V2A Rule-only; PCA+Rule; IF+Rule,HAI 23.05 P1 INNER with 14 contiguous attack-event units; statistical independence not established; no OUTER result,EXECUTED_AUDITED_DEVELOPMENT,5개 방법 54000-row prediction freeze 후 label gate 통과. D0 11/14 IF5/14 Rule11/14 두 fusion11/14와5/14. 독립 arithmetic QA PASS.,PILOT V1과 별도인 test1 DEVELOPMENT_ONLY;14 contiguous attack-event units.,Attack-event Recall; Normal FAR episodes/hour; secondary D0-miss recovery,독립성 미입증; Rule FAR37.6095/hour; 두 fusion Recall 증가0; heldout 미확인.,DG-03 provider decision 및 DG-04/06 검토. 결과 후 retuning 금지.,두 frozen fusion 개선은 DEVELOPMENT_NOT_SUPPORTED. Rule-only 운영 효용 미검증.,validation-v2-gdn-front-exp04-001,94ae44dac900cce75ed83ee2801be38750afed4a,D0_PCA_SPE;D1_RULE_ONLY;D2_V1;D2_V2;ATTACK_EVENT_RECALL;NORMAL_FAR;RESULT_INTEGRITY,ART-FRONT-EXP04;ART-FRONT-QA;ART-D0-METRICS;ART-D1-METRICS
EXP-05,규칙 설명의 일치성 검증,Does explanation output faithfully represent frozen rule trace numeric provenance and outcome without unsupported content?,Automated conformance across PASS FAIL and abstain; human usefulness is separate,V2A actual test1 runtime6418 full traces; no human study,EXECUTED_AUDITED_DEVELOPMENT,6418/6418 units의11개 fidelity checks PASS;26full batches;GDN optionalclauses130;독립전체census QA PASS.,실제 evaluated corpus structural fidelity; 인간 유용성/물리 진실 아님.,Source and target match; direction and timing; provenance; outcome consistency; omission; unsupported content; reproducibility,자동 검사 범위 제한;human usefulness UNVALIDATED.,동결 trace 보존 및 DG-06 교수님 검토.,본 actual corpus의 structural fidelity 지원;광범위 유용성 주장 금지.,validation-v2-gdn-front-exp04-001,94ae44dac900cce75ed83ee2801be38750afed4a,SATISFACTION_TRACE;EXPLANATION_RENDERER;RULE_RUNTIME,ART-FRONT-EXP05;ART-FRONT-QA
EXP-06,실시간 LLM 활용 비교,Can a future live-LLM arm be compared as an independent detector without receiving fixed-rule outcomes or ground truth?,Future R0 deterministic runtime versus separately authorized R1 live-LLM mode,CONDITIONAL FUTURE; no current scientific result,DESIGN_ONLY,The deployed fixed-rule runtime is LLM-free. No scientific authority establishes a real-time LLM detection comparison.,No experimental outcome.,To be preregistered after role input output latency cost and leakage boundaries are frozen,R1 must not receive R0 final alarm or normal outcome final violation or satisfaction test labels or ground truth.,Keep conditional and outside the current core contribution unless separately approved.,No live-LLM detection benefit claim is supportable; LLM-free wording applies only to the current fixed-rule runtime.,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,RULE_RUNTIME;EXPLANATION_RENDERER,ART-IMPLEMENTATION-AUDIT;ART-CLAIM-AUDIT
EXP-H23-HOLDOUT,HAI 23.05 primary held-out,Do the frozen five V2A methods retain their development behavior on the preregistered HAI 23.05 test2 panel?,PCA-SPE;Isolation Forest;Rule-only;PCA+Rule;IF+Rule,HAI 23.05 test2;38 nominal scenarios;actual P1 denominator pending,DESIGN_ONLY,Panel and no-pooling contracts are frozen; attack and label access are zero.,PREREGISTRATION_PREPARATION_ONLY,P1-eligible Scenario Recall;normal false episodes/hour;eTaPR;coverage;delay,DG-05 and official scenario/P1 eligibility authorities remain mandatory.,Complete DG-05 package after final method lock; then one-shot prediction-before-label execution.,No held-out or generalization claim exists yet.,validation-v2-eval-expansion-001,d1489b67618b1e307a31a15ccb27d6dad57795c4,RESULT_INTEGRITY;REPRODUCIBILITY,ART-EVAL-EXPANSION
EXP-H22-XVER,HAI 22.04 external replication,Can the fixed V2 method be re-instantiated from HAI 22.04 normal data and evaluated version-separately?,Version-specific normal-only method re-instantiation with frozen policies,HAI 22.04;58 nominal scenarios;P1 compatibility unresolved,DESIGN_ONLY,Official point/file/scenario counts are pinned; no P1 tag-unit-role crosswalk is proven.,PREREGISTRATION_PREPARATION_ONLY,Version-specific Scenario Recall;normal false episodes/hour;eTaPR;coverage;delay,Normal acquisition identity and META portability may block the complete method.,Run HAI-XVER-COMPAT-001 before any attack access.,External version replication remains unvalidated and cannot be pooled as IID.,validation-v2-eval-expansion-001,d1489b67618b1e307a31a15ccb27d6dad57795c4,RESULT_INTEGRITY;REPRODUCIBILITY,ART-EVAL-EXPANSION
EXP-H21-XVER,HAI 21.03 external replication,Can the fixed V2 method be re-instantiated from HAI 21.03 normal data under a purged deterministic train3 split?,Version-specific normal-only method re-instantiation with frozen policies,HAI 21.03;50 nominal scenarios;P1 compatibility unresolved,DESIGN_ONLY,Official point/file/scenario counts and value-blind partition arithmetic are pinned.,PREREGISTRATION_PREPARATION_ONLY,Version-specific Scenario Recall;normal false episodes/hour;eTaPR;coverage;delay,P1 crosswalk and exact train3 purge context must pass before scientific execution.,Run HAI-XVER-COMPAT-001 and freeze row-count partition before values.,External version replication remains unvalidated and cannot be pooled as IID.,validation-v2-eval-expansion-001,d1489b67618b1e307a31a15ccb27d6dad57795c4,RESULT_INTEGRITY;REPRODUCIBILITY,ART-EVAL-EXPANSION
