path,symbol,component,role,parameters,returns,caller,callee,input_split,side_effects,determinism,test_paths,frozen_execution_evidence
src/paperworks/v6/candidate_discovery_protocol_v1.py,eligible_pair_records_v1,VARIABLE_ROLE_UNIVERSE,"build ordered directed cross product and reject identity-equal pairs","source_variables;target_variables","tuple of pair identities","C0 configuration","validation and tuple construction",NOT_APPLICABLE,none,deterministic,"tests/test_candidate_universe.py;tests/test_task039c0_candidate_protocol.py",yes
src/paperworks/candidates/metadata_candidate_discovery_v1.py,load_frozen_c0_universe_v1,META_DISCOVERY,"replay C0 hashes and universe bindings","config_payload;bundle_payload",FrozenUniverseBindingV1,"run_task039c_meta.run",CandidateDiscoveryProtocolBundleV1.from_dict,NOT_APPLICABLE,reads public frozen configuration,deterministic,tests/test_task039c_meta.py,yes
src/paperworks/candidates/metadata_candidate_discovery_v1.py,validate_evidence_against_universe_v1,META_DISCOVERY,"reject incomplete or foreign metadata declarations","universe;evidence",none,discover_metadata_pair_records_v1,"set and tuple checks",NOT_APPLICABLE,none,deterministic,tests/test_task039c_meta.py,yes
src/paperworks/candidates/metadata_candidate_discovery_v1.py,load_official_physical_graph_v1,META_DISCOVERY,"verify and parse directed public reference graph",path,OfficialPhysicalGraphV1,"run_task039c_meta.run",verify_official_reference_file_v1,NOT_APPLICABLE,reads one authorized public reference,deterministic,tests/test_task039c_meta.py,yes
src/paperworks/candidates/metadata_candidate_discovery_v1.py,discover_metadata_pair_records_v1,META_DISCOVERY,"classify every pair using M1/M2/M3 precedence","universe;evidence;graph","tuple of MetadataPairEvidenceRecordV1","run_task039c_meta.run",validate_evidence_against_universe_v1,NOT_APPLICABLE,none,deterministic,tests/test_task039c_meta.py,yes
src/paperworks/v6/candidate_discovery_protocol_v1.py,rank_metadata_candidates_v1,META_DISCOVERY,"rank by tier; reference count; identities",entries,"ranked tuple",rank_supported_metadata_records_v1,sorted,NOT_APPLICABLE,none,deterministic,tests/test_task039c_meta.py,yes
src/paperworks/candidates/metadata_candidate_discovery_v1.py,rank_supported_metadata_records_v1,META_DISCOVERY,"exclude unsupported and preserve evidence records",records,"supported ranked records",build_metadata_candidate_result_v1,rank_metadata_candidates_v1,NOT_APPLICABLE,none,deterministic,tests/test_task039c_meta.py,yes
src/paperworks/v6/candidate_discovery_protocol_v1.py,derive_candidate_budget_views_v1,ALL_ARMS,"slice top-10/20/40 prefixes without padding",ranking,CandidateBudgetViewsV1,"arm result builders","duplicate checks and slicing",NOT_APPLICABLE,none,deterministic,"tests/test_task039c0_candidate_protocol.py",yes
src/paperworks/candidates/metadata_candidate_discovery_v1.py,build_metadata_candidate_result_v1,META_DISCOVERY,"build sanitized self-hashed result","records;commit;timestamp;bindings",mapping,"run_task039c_meta.run","ranking;budget;hash validators",NOT_APPLICABLE,none,deterministic,tests/test_task039c_meta.py,yes
scripts/run_task039c_meta.py,run,META_DISCOVERY,"historical frozen META orchestration","authorities;expected commit;timestamp","sanitized summary",main,"META loaders;rankers;writers",NOT_APPLICABLE,"historical authorized artifact writes",deterministic,tests/test_task039c_meta.py,yes
