component_id,name,research_role,status,lifecycle_stage,scientific_source_ref,scientific_source_commit,representative_path,representative_symbol,input_summary,output_summary,artifact_refs,test_refs,executed,audited,reproduced,claim_ready,risk_level,next_action,deep_review_part
DATA_PROVENANCE,HAI data provenance,Pins source edition and public-safe data identities,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/data/hai_provenance_v1.py,build_hai_dataset_manifest_v2,Approved HAI repository metadata and authorized file identities,Frozen HAI 23.05 provenance and manifest records,ART-RAW-DATA-CUSTODY,tests/test_task039a_manifest_schemas.py;tests/test_task039a_reports.py,true,true,false,true,MEDIUM,Rehearse public-safe restoration and verify timezone semantics on a fresh machine,ARCH-001
SPLIT_GOVERNANCE,Split governance,Enforces split roles and purge boundaries,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/data/splits_v2.py,assert_operation_permitted_v2,Frozen split roles raw ranges and task-specific grants,Validated split collection plus documented D1 durable-ordering gap,ART-RAW-DATA-CUSTODY,tests/test_task039p1a_splits_v2.py;tests/test_task039br2_contracts_and_boundaries.py,true,true,false,true,HIGH,Audit future entrypoints against split manifests and add a separately authorized D1 durable prediction gate,ARCH-001
VARIABLE_ROLE_UNIVERSE,Variable role universe,Freezes eligible sources targets and pair universe,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/candidate_discovery_protocol_v1.py,CandidateUniversePolicyV1,Reviewed P1 variable metadata and candidate policy,12 source by 12 target universe with 144 possibilities,ART-CANDIDATE-COHORT,tests/test_candidate_universe.py;tests/test_task039c0_candidate_protocol.py,true,true,false,true,LOW,Deep-audit role scoring and arm-specific inputs without changing the frozen universe,ARCH-002
META_DISCOVERY,META candidate discovery,Ranks candidates from metadata without feature values,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/candidates/metadata_candidate_discovery_v1.py,rank_supported_metadata_records_v1,Frozen pair universe and reviewed metadata,Audited top-20 metadata ranking without causal meaning,ART-CANDIDATE-COHORT,tests/test_task039c_meta.py,true,true,false,false,MEDIUM,Compare unique confirmed contribution and stability,ARCH-002
STAT_DISCOVERY,STAT candidate discovery,Ranks normal-only lagged statistical associations,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/candidates/statistical_candidate_discovery_v1.py,rank_pair_evidence_v1,Frozen pair universe and normal train1/train2 evidence,Audited top-20 statistical ranking without causal meaning,ART-CANDIDATE-COHORT,tests/test_task039c_stat.py,true,true,false,false,MEDIUM,Measure split stability and unique confirmed contribution,ARCH-002
GDN_DISCOVERY,GDN candidate discovery,Produces upstream-aligned graph-ranking candidate evidence,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/gdn/upstream_candidate_backend_v1.py,train_upstream_aligned_seed_v1,Frozen pair mask normal training segments and fidelity receipt,Audited three-seed top-20 graph ranking as candidate evidence,ART-CANDIDATE-COHORT,tests/test_task039c_gdn_candidates.py,true,true,false,false,HIGH,Validate stable unique contribution and masking behavior,ARCH-002
CANDIDATE_UNION,Candidate union,Integrates discovery arms without rescoring,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/candidates/candidate_integration_v1.py,build_task039c_integration_v1,Frozen META STAT and GDN ranked artifacts,Unscored provenance-preserving union of 47 unique pairs,ART-CANDIDATE-COHORT,tests/test_task039c_integration_reports.py,true,true,false,true,MEDIUM,Review overlap semantics without treating membership as validation,ARCH-002
RELATION_PROFILING,Relation profiling,Fits direction and lag aware normal relations,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/profiling/task039d1_fit_v1.py,build_fit_result_v1,47-pair cohort and authorized normal values,23 pair contexts and 42 confirmed directed relations,ART-TRAIN3-CONFIRMATION;ART-CONFIRMED-RELATIONS,tests/test_task039d1_fit_engine.py;tests/test_task039d1_independent_replay.py,true,true,false,true,MEDIUM,Compare criteria and stability without physical-truth claims,ARCH-003
NUMERIC_AUTHORITY,Normal-only numeric authority,Binds timing tolerance persistence and scale references,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_normal_only_authority_v1.py,materialize_normal_only_authority_v1,COMMON-42 identities and normal calibration inputs,Private numeric authority with sanitized public receipt,ART-NUMERIC-AUTHORITY-RECEIPT;ART-PRIVATE-SCIENTIFIC-CUSTODY,tests/test_task039e3_r2r_utility_normal_only_authority_v1.py,true,true,false,true,MEDIUM,Keep values private and compare criteria in a new protocol,ARCH-003
EVIDENCE_PACK,Normal relation evidence pack,Carries normal-only support stability and parameter references,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_scientific_execution_v1.py,RealConstructionEvidenceV1/project_real_evidence_v1,Confirmed relations and normal fit summaries,Typed evidence for bounded rule construction,ART-CONFIRMED-RELATIONS;ART-NUMERIC-AUTHORITY-RECEIPT,tests/test_task039p1b_normal_evidence.py;tests/test_task039e1_final_audit_results.py,true,true,false,true,LOW,Review completeness and claim boundaries in ARCH work,ARCH-004
RULE_DSL,Canonical Rule v1 DSL,Defines bounded typed serializable rule contracts,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_protocol_v4.py,CanonicalRuleDescriptorV4,Bounded construction output and parameter references,Immutable Rule v1 documents with provenance,ART-COMMON42,tests/test_task032b_delayed_response_rule_v1.py;tests/test_task039e0_validity_v2.py,true,true,false,true,LOW,Keep COMMON-42 within Rule v1 and avoid scope drift,ARCH-004
T0_TEMPLATE,T0 deterministic template,Deterministic construction comparator,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_orchestration_v1.py,run_t0_v1,Frozen evidence and template policy,42 of 42 accepted pilot construction outcomes,ART-CONSTRUCTION-ANALYSIS,tests/test_task039e3_main_arms.py,true,true,false,false,MEDIUM,Retain as preregistered comparator,ARCH-004
T1_ONE_SHOT,T1 one-shot construction,Bounded one-shot LLM comparator,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_orchestration_v1.py,run_t1_v1,Frozen evidence and provider policy,42 of 42 accepted pilot outcomes,ART-CONSTRUCTION-ANALYSIS,tests/test_task039e3_main_arms.py,true,true,false,false,HIGH,Reproduce under frozen provider policy before comparison claims,ARCH-004
T1B_REPEAT,T1-B budget control,Independent generations with T2-matched call budget,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_orchestration_v1.py,run_t1b_v1,Frozen evidence and three-generation policy,42 of 42 selected accepted pilot outcomes,ART-CONSTRUCTION-ANALYSIS,tests/test_task039e3_main_arms.py;tests/test_task039e3_r2r_scientific_result_analysis.py,true,true,false,false,HIGH,Preserve budget equivalence in expanded comparison,ARCH-004
T2_AGENTIC_FEEDBACK,T2 verifier-feedback construction,Bounded revise retrieve and no-rule controller,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_orchestration_v1.py,run_t2_v1,Frozen evidence provider policy and verifier outputs,39 accepted and 3 no-rule; feedback actions were zero,ART-CONSTRUCTION-ANALYSIS,tests/test_task039e3_main_arms.py;tests/test_task039e3_r2r_scientific_result_analysis.py,true,true,false,false,HIGH,Design a comparable cohort that actually exercises feedback,ARCH-004
DETERMINISTIC_VERIFIER,Deterministic verifier,Checks bounded contract validity independently of labels,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e0_validity_v2.py,verify_prepared_rule_proposal_v2,Rule evidence parameters graph and split policies,Deterministic staged verifier result without scientific proof,ART-COMMON42,tests/test_task032d_verifier_v1.py;tests/test_task039p1c_verifier_runtime.py,true,true,false,true,LOW,Keep scientific and causal claims outside verifier authority,ARCH-005
COMMON42_FREEZE,COMMON-42 freeze,Freezes the downstream verified rule portfolio,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_protocol_v4.py,build_common42_public_authority_v4,Confirmed relations construction and verifier authority,Public authority binding exactly 42 verified rules,ART-COMMON42,tests/test_task039e3_r2r_utility_protocol_v4.py,true,true,false,true,LOW,Preserve exact authority bytes,ARCH-005
RULE_RUNTIME,LLM-free rule runtime,Executes frozen rules with deterministic parameter resolution,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,execute_real_rule_v1,Frozen rule resolver and runtime window,Deterministic violation satisfaction or abstention result,ART-D1-PREDICTION,tests/test_task039e3_r2r_utility_evaluator_v1_rule_engine.py;tests/test_task032e_runtime_v1.py,true,true,false,true,MEDIUM,Do not generalize fixed-runtime properties to future modes,ARCH-006
SATISFACTION_TRACE,Satisfaction trace,Records observed evaluation steps and bindings,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,RealRuleExecutionResultV1,Real D1 rule evaluation facts,Task-specific trace hash bound to the frozen D1 decision; canonical RuntimeTraceV1 remains separate,ART-D1-PREDICTION,tests/test_task039e3_r2r_utility_inner_d1_execution_v1.py;tests/test_task032e_runtime_v1.py,true,true,false,true,LOW,Audit canonical-to-real trace representation in ARCH-006 and ARCH-008,ARCH-006
EXPLANATION_RENDERER,Explanation renderer,Renders bounded rule and trace-grounded explanations,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/contracts/explanation_v1.py,render_delayed_response_explanation,Rule trace provenance and observed outcome,Deterministic explanation record without human-utility evidence,ART-PROFESSOR-RESULTS,tests/test_task032e_explanation_v1.py,true,true,false,false,MEDIUM,Evaluate faithfulness separately from human usefulness,ARCH-006
D0_PCA_SPE,D0 PCA-SPE detector,Frozen simple detector baseline,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,execute_authorized_d0_inner_v1,Frozen feature frame and private detector authorities,Label-blind prediction and 14-event pilot metrics,ART-D0-PREDICTION;ART-D0-METRICS;ART-D0-INTEGRITY,tests/test_task039e3_r2r_d0_inner_execution_v1.py;tests/test_task039e3_r2r_d0_result_integrity_v1_independent.py,true,true,false,false,HIGH,Add a stronger baseline only in a new preregistered study,ARCH-007
D1_RULE_ONLY,D1 verified Rule-only,Standalone COMMON-42 anomaly signal,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,execute_authorized_inner_d1_v1,COMMON-42 private resolver and INNER features,Label-blind prediction and 14-event pilot metrics,ART-D1-PREDICTION;ART-D1-METRICS;ART-D1-INTEGRITY,tests/test_task039e3_r2r_utility_inner_d1_execution_v1.py;tests/test_task039e3_r2r_utility_inner_d1_result_integrity_v1_independent.py,true,true,false,false,HIGH,Expand utility evaluation without changing the frozen pilot,ARCH-008
D2_V1,D2 V1 fusion,Preregistered same-second D0 and D1 fusion,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_d2_inner_execution_recovery_v1.py,execute_authorized_d2_inner_recovery_v1,Frozen D0 and D1 predictions and V1 policy,Pilot fusion with zero of three D0-miss recovery,ART-D2V1-PREDICTION;ART-D2V1-METRICS;ART-D2V1-INTEGRITY,tests/test_task039e3_r2r_d2_inner_execution_v1.py;tests/test_task039e3_r2r_d2_result_integrity_v1_independent.py,true,true,false,false,HIGH,Retain as negative pilot evidence without tuning,ARCH-009
D2_V2,D2 V2 fusion,Preregistered native-horizon evidence fusion,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_d2_v2_inner_execution_v1.py,execute_authorized_d2_v2_inner_v1,Frozen D0 and D1 predictions and V2 policy,Pilot fusion with zero recovery and increased FAR,ART-D2V2-PREDICTION;ART-D2V2-METRICS;ART-D2V2-INTEGRITY,tests/test_task039e3_r2r_d2_v2_inner_execution_v1.py;tests/test_task039e3_r2r_d2_v2_result_integrity_v1_independent.py,true,true,false,false,HIGH,Do not create result-driven V3 inside RCC,ARCH-009
EPISODE_CONSTRUCTION,Alarm episode construction,Forms maximal contiguous alarm episodes,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,form_alarm_episodes_v1,Ordered alarm indices from frozen prediction,Canonical maximal contiguous half-open episodes,ART-D0-METRICS;ART-D1-METRICS,tests/test_task039e3_r2r_utility_evaluator_v1_metrics.py,true,true,false,true,LOW,Preserve the frozen episode policy,ARCH-010
ATTACK_EVENT_RECALL,Attack-event Recall,Measures events overlapped by alarm episodes,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,attack_event_recall_v1,Frozen alarm episodes and attack events,Bound INNER pilot event-recall receipts,ART-D0-METRICS;ART-D1-METRICS;ART-D2V1-METRICS;ART-D2V2-METRICS,tests/test_task039e3_r2r_utility_evaluator_v1_metrics.py,true,true,false,false,HIGH,Expand beyond the current 14-event pilot,ARCH-010
NORMAL_FAR,Normal FAR episodes per hour,Measures nonattack alarm episodes per normal hour,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,normal_far_episodes_per_hour_v1,Alarm episodes attack events and private exposure,Bound FAR receipts without private denominators,ART-D0-METRICS;ART-D1-METRICS;ART-D2V1-METRICS;ART-D2V2-METRICS,tests/test_task039e3_r2r_utility_evaluator_v1_metrics.py,true,true,false,false,HIGH,Treat D1 FAR as a primary operational risk,ARCH-010
RESULT_INTEGRITY,Result integrity audits,Verifies immutable predictions metrics ordering and leakage,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,scripts/audit_task039e3_r2r_d0_result_integrity_v1.py,run_audit_v1,Frozen public artifacts and authorized oracle inputs,Independent sanitized integrity reports plus ARCH-001 ordering qualification,ART-D0-INTEGRITY;ART-D1-INTEGRITY;ART-D2V1-INTEGRITY;ART-D2V2-INTEGRITY,tests/test_task039e3_r2r_d0_result_integrity_v1_independent.py;tests/test_task039e3_r2r_d2_result_integrity_v1_independent.py,true,true,false,true,HIGH,Keep integrity separate from validation and track the D1 durable-file ordering gap,ARCH-010
OUTER_EVALUATION,Held-out OUTER evaluation,Governed held-out generalization path,BLOCKED,CODE_IMPLEMENTED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_outer_d0_d1_d2v1_execution_recovery_v1.py,RecoveryAttemptBoundaryV1,Preregistered authority and unresolved custody prerequisites,One custody file access rejected before byte read; no prediction metric or outcome,ART-OUTER-BLOCKER,tests/test_task039e3_r2r_outer_d0_d1_d2v1_execution_recovery_v1.py,false,false,false,false,CRITICAL,Require separate approval and preregistration before any held-out study,ARCH-011
REPRODUCIBILITY,Reproducibility assessment,Tracks pins preservation and restoration readiness,PARTIAL,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,docs/post_push_checkpoint_v1/07_REPRODUCIBILITY_ASSESSMENT.md,not_applicable_document,Pinned history artifacts and environment receipts,Strong traceability but incomplete fresh-machine portability,ART-REPRO-ASSESSMENT,tests/test_professor_first_results_v1.py,false,true,false,false,HIGH,Run a separately authorized fresh-machine rehearsal,ARCH-011
PROFESSOR_REPORTING,Professor reporting,Synthesizes frozen observations and boundaries,IMPLEMENTED_EXECUTED_AUDITED,AUDITED,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,docs/professor_submission_v1/03_FIRST_RESULTS_REPORT.md,not_applicable_document,Frozen public pilot artifacts and claim audit,Public-safe first-results synthesis without superiority claims,ART-PROFESSOR-RESULTS;ART-CLAIM-AUDIT,tests/test_professor_first_results_v1.py;tests/test_task038f_professor_package.py,true,true,false,true,MEDIUM,Keep wording synchronized with RCC claims,ARCH-011
