ref,commit,ref_type,role,current,live_remote_verified,relationship_to_checkpoint,evidence,notes
task-039c-gdn,c0efdb6218385ec326be1a929371242314e63cb6,local_branch,current_checkout,false,false,ancestor,"git branch --show-current; git rev-parse HEAD","stale blocked GDN-arm checkout; not current scientific authority"
origin/main,11a5f04a0422049a099020f06c59ec23bc72d130,remote_tracking_branch,mainline_through_TASK_039E2,false,false,ancestor,"git for-each-ref; git log","stale for utility and frozen result work"
task-039c-integration,9ac4578603b81385dc9592cd5db5076d83a3fb66,local_branch,candidate_union_47_pair_cohort,false,false,ancestor,"git log --all -- path; candidate cohort artifact","scientific lineage component"
task-039d2-final-audit,e655e161c82715638c6c6d398d52dc0babbec7c0,local_branch,train3_confirmation_42_directed_relations,false,false,ancestor,"git log --all -- path; TASK-039D2_RESULT.json","scientific lineage component"
task-039e3-r2r-utility-normal-only-authority-v1-materialized-independent-audit,e971c8c8543f49b31aba2a57cf60257d190b76d5,local_branch,COMMON42_normal_numeric_authority_audit,false,false,ancestor,"git log --all -- path; materialized receipt","private payload remains outside Git"
task-039e3-r2r-utility-inner-d0-result-integrity-audit-report-hash-remediation-r1,1c2f9a6272ee711b70b44ed79b9210af1026d3af,local_branch,D0_result_integrity_closure,false,false,ancestor,"git for-each-ref; integrity receipt","frozen D0 lineage"
task-039e3-r2r-utility-inner-d1-result-integrity-audit-v1,91a92fb3ca44d0e34c310b35ab8b6ec88c95be05,local_and_remote_branch,D1_result_integrity,false,false,ancestor,"git for-each-ref; integrity receipt","frozen D1 lineage"
task-039e3-r2r-utility-inner-d2-result-integrity-audit-v1,f4367ac5b77a28088fab834018b170c8295e66c1,local_branch,D2_V1_result_integrity,false,false,ancestor,"git for-each-ref; integrity receipt","frozen D2 V1 lineage"
task-039e3-r2r-utility-inner-d2-v2-r5-accounting-r5-report-render-remediation-r1,9287d5f63dc8df2811c53429b1f141634dd971bc,local_branch,D2_V2_result_integrity_completion,false,false,ancestor,"git for-each-ref; canonical completion artifact","final D2 V2 integrity-completion lineage tip"
task-039e3-r2r-utility-outer-d0-d1-d2v1-execution-recovery-v1,70811efe44246796797299d58125720298e3a380,local_branch,OUTER_consumed_attempt_continuity,false,false,ancestor,"git log; OUTER blocker","no OUTER scientific result"
task-039e3-r2r-professor-submission-package-final-qa-v1,87033702d0c16abaf141c03983098f69e6a8cb16,local_branch,professor_submission,false,false,ancestor,"git log; professor package","professor-facing synthesis"
thesis-v1-first-results,5aa7c61ee37fb232c9b487e448ddbd30e3628872,annotated_tag,professor_ready_pre_audit_checkpoint,false,true,ancestor,"git tag peel; live git ls-remote tag object","immutable earlier checkpoint"
origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,remote_branch,audited_scientific_and_reporting_checkpoint,true,true,self,"git for-each-ref; git ls-tree; live git ls-remote","preferred scientific source candidate when pinned by exact SHA"
thesis-v1-post-push-audit,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,annotated_tag,immutable_checkpoint_pin,true,true,self,"local tag peel; live git ls-remote tag object","pair with canonical branch"
origin/task-039e3-r2r-thesis-draft-scaffold-v1,ebc5a57bfdb7d8266f96f2990338effb9d0a2743,remote_branch,documentation_only_thesis_overlay,true,true,one_commit_descendant,"git log; git diff-tree; live git ls-remote","does not redefine frozen science"
ARGOS_PATH_AT_CHECKPOINT,337769066f62b8f4fcd8e48a9a8f8d3651e3818a,path_history_tip,legacy_ARGOS_methodological_reference,false,false,ancestor,"git log --all -- experiments/argos_reproduction docs/argos_reproduction","not HAI P1 authority"
