edge_id,source_node_id,target_node_id,edge_class,artifact_ids,audit_reports,label_ko,notes_ko
EDGE-001,NODE_HAI_P1,NODE_SPLIT_ROLES,FROZEN_EXECUTION,ART-RAW-DATA-CUSTODY,architecture/01_data_and_splits/ARCH_001_REPORT.md,고정 데이터 신원,실제 frozen INNER 경로
EDGE-002,NODE_SPLIT_ROLES,NODE_CANDIDATE_DISCOVERY,FROZEN_EXECUTION,ART-CANDIDATE-COHORT,architecture/02_candidate_discovery/ARCH_002_REPORT.md,공통 144-pair universe,arm별 허용 evidence는 다름
EDGE-003,NODE_CANDIDATE_DISCOVERY,NODE_CANDIDATE_UNION,FROZEN_EXECUTION,ART-CANDIDATE-COHORT,architecture/02_candidate_discovery/ARCH_002_REPORT.md,META/STAT/GDN Top-20,unscored provenance-preserving union
EDGE-004,NODE_CANDIDATE_UNION,NODE_RELATION_PROFILING,FROZEN_EXECUTION,ART-CANDIDATE-COHORT;ART-TRAIN3-CONFIRMATION,architecture/03_relation_and_numeric/ARCH_003_REPORT.md,47 candidate pairs,candidate는 confirmed relation이 아님
EDGE-005,NODE_RELATION_PROFILING,NODE_NUMERIC_AUTHORITY,FROZEN_EXECUTION,ART-CONFIRMED-RELATIONS;ART-NUMERIC-AUTHORITY-RECEIPT,architecture/03_relation_and_numeric/ARCH_003_REPORT.md,42 confirmed directions,normal-only evidence
EDGE-006,NODE_NUMERIC_AUTHORITY,NODE_RULE_CONSTRUCTION,FROZEN_EXECUTION,ART-NUMERIC-AUTHORITY-RECEIPT;ART-CONSTRUCTION-ANALYSIS,architecture/04_rule_construction/ARCH_004_REPORT.md,reference-bound numbers,LLM은 numeric authority가 아님
EDGE-007,NODE_RELATION_PROFILING,NODE_RULE_CONSTRUCTION,FROZEN_EXECUTION,ART-CONFIRMED-RELATIONS;ART-CONSTRUCTION-ANALYSIS,architecture/04_rule_construction/ARCH_004_REPORT.md,Evidence Pack relation facts,labels와 utility outcomes는 withheld
EDGE-008,NODE_RULE_CONSTRUCTION,NODE_VERIFIER,FROZEN_EXECUTION,ART-CONSTRUCTION-ANALYSIS,architecture/04_rule_construction/ARCH_004_REPORT.md;architecture/05_verifier_common42/ARCH_005_REPORT.md,task-specific proposal validity,canonical VerifierV1과 동등하다고 표시하면 안 됨
EDGE-009,NODE_RULE_CONSTRUCTION,NODE_COMMON42,FROZEN_EXECUTION,ART-CONSTRUCTION-ANALYSIS;ART-COMMON42,architecture/05_verifier_common42/ARCH_005_REPORT.md,T0/T1/T1-B executable-equivalent projection,T2는 COMMON-42 utility authority에서 제외
EDGE-010,NODE_VERIFIER,NODE_COMMON42,AUTHORITY_GAP,ART-COMMON42,architecture/05_verifier_common42/ARCH_005_REPORT.md;architecture/11_outer_reproducibility/ARCH_011_REPORT.md,canonical→V4 bridge 미선택,DEC-020 APPROVED_FORMAL_V4; V2는 별도 Formal V4 authority 사용
EDGE-011,NODE_COMMON42,NODE_D1,FROZEN_EXECUTION,ART-COMMON42;ART-D1-PREDICTION,architecture/06_runtime_trace_explanation/ARCH_006_REPORT.md,V4 fixed-rule runtime,LLM calls 0
EDGE-012,NODE_HAI_P1,NODE_D0,FROZEN_EXECUTION,ART-RAW-DATA-CUSTODY;ART-D0-PREDICTION,architecture/07_d0_detector/ARCH_007_REPORT.md,37 P1 features,normal-only fit/calibration 후 test1 prediction
EDGE-013,NODE_D0,NODE_D2,FROZEN_EXECUTION,ART-D0-PREDICTION;ART-D2V1-PREDICTION;ART-D2V2-PREDICTION,architecture/09_d2_fusion/ARCH_009_REPORT.md,D0 pointwise preserved,D2(t)=D0(t) OR policy_admits_D1(t)
EDGE-014,NODE_D1,NODE_D2,FROZEN_EXECUTION,ART-D1-PREDICTION;ART-D2V1-PREDICTION;ART-D2V2-PREDICTION,architecture/09_d2_fusion/ARCH_009_REPORT.md,multi-source rule evidence,D1 response가 자동 D2 admission을 뜻하지 않음
EDGE-015,NODE_D0,NODE_METRICS_INTEGRITY,FROZEN_EXECUTION,ART-D0-PREDICTION;ART-D0-METRICS;ART-D0-INTEGRITY,architecture/10_metrics_integrity/ARCH_010_REPORT.md,Boolean alarm timeline,durable pre-label prediction
EDGE-016,NODE_D1,NODE_METRICS_INTEGRITY,FROZEN_EXECUTION,ART-D1-PREDICTION;ART-D1-METRICS;ART-D1-INTEGRITY,architecture/10_metrics_integrity/ARCH_010_REPORT.md,unique alarm seconds,in-memory pre-label boundary is weaker
EDGE-017,NODE_D2,NODE_METRICS_INTEGRITY,FROZEN_EXECUTION,ART-D2V1-PREDICTION;ART-D2V1-METRICS;ART-D2V1-INTEGRITY;ART-D2V2-PREDICTION;ART-D2V2-METRICS;ART-D2V2-INTEGRITY,architecture/10_metrics_integrity/ARCH_010_REPORT.md,combined Boolean predictions,V2 is test1-informed development
EDGE-018,NODE_METRICS_INTEGRITY,NODE_OUTER_REPRO,DESIGN_CONDITIONAL,ART-OUTER-BLOCKER;ART-REPRO-ASSESSMENT,architecture/11_outer_reproducibility/ARCH_011_REPORT.md,new preregistered validation required,old OUTER result unavailable; not negative performance
