path,symbol,metric/component,role,input,output,deduplication,grouping,label_access,method_specific?,tests,frozen_use
src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,derive_attack_events_v1,ATTACK_EVENT,Construct maximal strict-label positive runs,ordered binary labels,IntervalV1 tuple,none,maximal contiguous one rows,yes,no,tests/test_task039e3_r2r_utility_evaluator_v1_r3_independent_metrics_artifacts.py,yes
src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,form_alarm_episodes_v1,EPISODE,Normalize alarm indices into episodes,alarm row indices,IntervalV1 tuple,set and sort,zero-gap physical-row adjacency,no,no,tests/test_task039e3_r2r_utility_evaluator_v1_r3_independent_metrics_artifacts.py,yes
src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,_validate_canonical_alarm_episodes_v1,EPISODE,Reject noncanonical interval collections,interval tuple,validated tuple,not applicable,reject overlap and adjacency,no,no,tests/test_task039e3_r2r_utility_evaluator_v1_r3_independent_metrics_artifacts.py,yes
src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,_overlap,OVERLAP,Half-open interval overlap test,two intervals,Boolean,not applicable,half-open,no,no,tests/test_task039e3_r2r_utility_evaluator_v1_r3_independent_metrics_artifacts.py,yes
src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,attack_event_recall_v1,RECALL,Build bound event-recall metric,alarm episodes and label custody,BoundMetricV1,event counted once,any overlap,yes,no,tests/test_task039e3_r2r_utility_evaluator_v1_r3_independent_metrics_artifacts.py,yes
src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,normal_far_episodes_per_hour_v1,FAR,Build bound normal false-episode rate,alarm episodes and label custody,BoundMetricV1,episode counted once,whole mixed episode excluded,yes,no,tests/test_task039e3_r2r_utility_evaluator_v1_r3_independent_metrics_artifacts.py,yes
src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,validate_bound_metric_v1,RESULT_CONTRACT,Validate bound metric identity and arithmetic,BoundMetricV1,metric hash,not applicable,not applicable,no,no,tests/test_task039e3_r2r_utility_evaluator_v1_r3_independent_metrics_artifacts.py,yes
src/paperworks/v6/task039e3_r2r_utility_evaluator_metrics_v1.py,alarm_episodes_from_rule_artifact_v1,D1_ADAPTER,Extract anomaly decision rows from rule artifact,RulePredictionArtifactV1,IntervalV1 tuple,set decision rows,zero-gap physical-row adjacency,no,yes,tests/test_task039e3_r2r_utility_evaluator_v1_r3_independent_metrics_artifacts.py,yes
src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,execute_authorized_d0_inner_v1,D0_HANDOFF,Persist D0 prediction before label metric phase,frozen model and test features,D0InnerExecutionOutcomeV1,one Boolean per row,common metric semantics,labels only after freeze,yes,tests/test_task039e3_r2r_d0_inner_execution_v1.py,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,execute_authorized_inner_d1_v1,D1_HANDOFF,Convert terminal rule records to decision-row alarms,V4 opportunities,InnerD1ExecutionOutcomeV1,set decision rows,common metric semantics,labels only after object freeze,yes,tests/test_task039e3_r2r_utility_inner_d1_execution_v1.py,yes
src/paperworks/v6/task039e3_r2r_d2_inner_execution_v1.py,execute_authorized_d2_inner_v1,D2_V1_HANDOFF,Create and persist D2 V1 Boolean prediction,D0 prediction and D1 evidence,D2InnerExecutionOutcomeV1,one Boolean per row,common metric semantics,labels only after durable freeze,yes,tests/test_task039e3_r2r_d2_inner_execution_v1.py,yes
src/paperworks/v6/task039e3_r2r_d2_v2_inner_execution_v1.py,execute_authorized_d2_v2_inner_v1,D2_V2_HANDOFF,Create and persist D2 V2 Boolean prediction,D0 prediction D1 evidence horizon map,D2V2InnerExecutionOutcomeV1,one Boolean per row,common metric semantics,labels only after durable freeze,yes,tests/test_task039e3_r2r_d2_v2_inner_execution_v1.py,yes
scripts/audit_task039e3_r2r_d0_result_integrity_v1.py,run_audit_v1,RESULT_INTEGRITY,Check D0 identity ordering arithmetic and report bindings,frozen D0 artifacts,integrity audit,not applicable,not applicable,existing labels only,no,tests/test_task039e3_r2r_d0_result_integrity_v1_independent.py,yes
scripts/audit_task039e3_r2r_utility_inner_d1_result_integrity_v1.py,run_complete_audit_v1,RESULT_INTEGRITY,Check D1 identity opportunity closure arithmetic and report bindings,frozen D1 artifacts,integrity audit,not applicable,not applicable,existing labels only,no,tests/test_task039e3_r2r_utility_inner_d1_result_integrity_v1_independent.py,yes
scripts/audit_task039e3_r2r_d2_result_integrity_v1.py,run_audit_v1,RESULT_INTEGRITY,Check D2 V1 identity ordering arithmetic and report bindings,frozen D2 artifacts,integrity audit,not applicable,not applicable,existing labels only,no,tests/test_task039e3_r2r_d2_result_integrity_v1_independent.py,yes
scripts/audit_task039e3_r2r_d2_v2_result_integrity_v1.py,run_audit,RESULT_INTEGRITY,Check D2 V2 identity ordering arithmetic and report bindings,frozen D2 V2 artifacts,integrity audit,not applicable,not applicable,existing labels only,no,tests/test_task039e3_r2r_d2_v2_result_integrity_v1.py,yes
