path,symbol,component,role,parameters,returns,caller,callee,authority,failure_behavior,artifact,tests,frozen_execution_use
src/paperworks/contracts/rule_v1.py,parse_delayed_response_rule,canonical rule,parse canonical RuleV1,mapping,DelayedResponseRuleV1,canonical callers,_validate_mvp,canonical schema,raises validation error,RuleV1 transport,tests/test_task039p1c_verifier_v1.py,no
src/paperworks/contracts/rule_v1.py,_validate_mvp,canonical rule,enforce current narrow MVP,rule,None,parser,typed validators,canonical MVP,raises validation error,none,tests/test_task039p1c_verifier_v1.py,no
src/paperworks/contracts/accepted_rule.py,materialize_accepted_rule,canonical rule,materialize accepted hash-bound rule,candidate+subject,accepted RuleV1,VerifierV1,canonical subject hash,canonical verifier,fail closed,accepted rule,tests/test_task039p1c_verifier_v1.py,no
src/paperworks/contracts/verifier_v1.py,verify_delayed_response_rule,canonical verifier,run 20 stages,rule+collection+policy,outcome,canonical workflows,_stage_1.._stage_20,VerifierV1,accepted/needs_repair/rejected,verifier result,tests/test_task039p1c_verifier_v1.py,not proven
src/paperworks/contracts/verifier_v1.py,verify_verifier_result_binding,canonical verifier,replay result binding,result+rule+policy,hash,canonical runtime,canonical_verifier_binding_id,VerifierV1,raises on mismatch,verifier result,tests/test_task039p1c_verifier_v1.py,not proven
src/paperworks/contracts/runtime_authority.py,authorize_delayed_response_runtime,runtime authorization,authorize legacy canonical synthetic runtime,accepted rule+verifier+artifacts,bundle,canonical tests,_authorize_core,canonical runtime,fail closed,bundle+receipt,tests/test_task032e_runtime_authority.py,no
src/paperworks/contracts/runtime_authority.py,authorize_v6_delayed_response_runtime,runtime authorization,add governance/deployment checks,accepted rule+verifier+collection+governance,bundle,canonical workflows,_authorize_core,canonical v6 runtime,fail closed,bundle+receipt,tests/test_task032e_runtime_authority.py,no
src/paperworks/contracts/runtime_authority.py,verify_runtime_authorization_bundle,runtime authorization,replay all identities,bundle+inputs,hash,canonical runtime,parsers+binding checks,canonical runtime,fail closed,bundle+receipt,tests/test_task032e_runtime_authority.py,no
src/paperworks/v6/task039e0_validity_v2.py,verify_prepared_rule_proposal_v2,task validity,validate closed proposal under V2 budget,proposal+relation+evidence+provenance+budget,PreparedValidityResultV2,E0 construction,verify_prepared_rule_proposal_v1,task039e0 validity,admissible/rejected,validity result,tests/test_task039e0_*.py,yes
src/paperworks/v6/task039e0_validity_v1.py,verify_prepared_rule_proposal_v1,task validity,run proposal checks,bounded task inputs,PreparedValidityResultV1,V2 adapter,task checks,task039e0 validity,issues+rejected,validity result,tests/test_task039e0_*.py,yes
src/paperworks/v6/task039e3_r2r_utility_protocol_v4.py,build_canonical_rule_descriptors_v4,COMMON42 freeze,build 42 V4 descriptors,COMMON relation authority+numeric authority,tuple descriptors,V4 authority builder,descriptor validators,V4,raises on mismatch,descriptor census,tests/test_task039e3_r2r_utility_protocol_v4.py,yes
src/paperworks/v6/task039e3_r2r_utility_protocol_v4.py,validate_utility_protocol_v4_authority,COMMON42 freeze,replay full V4 authority,authority,hash,evaluator,all V4 validators,V4,raises on mismatch,V4 authority,tests/test_task039e3_r2r_utility_protocol_v4.py,yes
src/paperworks/v6/task039e3_r2r_utility_protocol_v4.py,authorize_canonical_full_census_plan_v4,COMMON42 freeze,grant exact full census,plan+authority,authorized plan,evaluator,census validators,V4,rejects T2/substitution,full census plan,tests/test_task039e3_r2r_utility_protocol_v4.py,yes
src/paperworks/v6/task039e3_r2r_utility_evaluator_authority_v1.py,build_evaluator_authority_bundle_v1,evaluator authority,issue exact factory-custody bundle,V4 authority,bundle,D1 bridge,_build_expected_evaluator_authority_bundle_v1,evaluator,raises on mismatch,evaluator bundle,tests/test_task039e3_r2r_utility_evaluator_v1_*.py,yes
src/paperworks/v6/task039e3_r2r_utility_evaluator_authority_v1.py,validate_evaluator_authority_bundle_v1,evaluator authority,replay factory and semantics,bundle,hash,D1 evaluator,V4 validators,evaluator,raises on mismatch,evaluator bundle,tests/test_task039e3_r2r_utility_evaluator_v1_*.py,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,issue_committed_inner_d1_execution_grant_v1,D1 authorization,replay committed grant,none,grant,real D1,committed artifact validators,D1 INNER,fail closed,grant,tests/test_task039e3_r2r_utility_inner_d1_*.py,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,execute_authorized_inner_d1_v1,D1 authorization,one exact real D1 execution,none,outcome,authorized task,grant+V4+evaluator+label order,D1 INNER,one-attempt fail closed,prediction+metrics,tests/test_task039e3_r2r_utility_inner_d1_*.py,yes
src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,execute_real_rule_v1,D1 runtime,evaluate one V4 opportunity,envelope+census+frame+bundle+resolver,result,real D1,V4 transition validators,D1 INNER,fail or abstain,bound result,tests/test_task039e3_r2r_utility_inner_d1_*.py,yes
