path,symbol,component,role,parameters,returns,caller,callee,LLM_call_possible,artifact_io,authority_dependency,error_behavior,tests,frozen_execution_use
src/paperworks/v6/task039e1_evidence_materialization_v1.py,PrivateNumericBindingV1,EVIDENCE_PACK,bind one normal-derived value,relation/role/value/provenance,reference-bound record,E1 materializer,stable_hash_v1,false,private E1 ledger,E1 authorization,fail closed,tests/test_task039e1_real_materialization.py,true
src/paperworks/v6/task039e1_evidence_materialization_v1.py,PrivateConstructionEvidenceV1,EVIDENCE_PACK,bind relation and eleven roles,relation plus bindings,self-hashed private record,E1 materializer,PrivateNumericBindingV1,false,private E1 ledger,confirmed relation cohort,fail closed,tests/test_task039e1_real_materialization.py,true
src/paperworks/v6/task039e3_scientific_execution_v1.py,project_real_evidence_v1,EVIDENCE_PACK,project E1 record to execution adapter,private/public E1 artifacts,RealConstructionEvidenceV1,scientific executor,E1 validators,false,reads frozen E1 ledger,E1 hashes and schedule,fail closed,tests/test_task039e3_live_execution.py,true
src/paperworks/v6/task039e3_scientific_execution_v1.py,RealConstructionEvidenceV1.render_view,EVIDENCE_PACK,render bounded construction view,relation/bindings/identities,ConstructionInputViewV1,all construction arms,ConstructionInputViewV1,false,in memory,E1 private binding,fail closed,tests/test_task039e3_live_execution.py,true
src/paperworks/v6/task039e3_execution_prep_v1.py,ConstructionInputViewV1,RULE_DSL,closed model-visible input,relation/bindings/metadata,canonical mapping,request builders,prohibited-key walker,false,in memory,approved roles and evidence IDs,fail closed,tests/test_task039e3_input_prompts_retrieval.py,true
src/paperworks/v6/task039e2_execution_configuration_v1.py,ProviderProposalCoreV1,RULE_DSL,strict candidate output model,relation/reference fields,typed proposal core,response parser,field validators,false,in memory,E2 strict schema,fail closed,tests/test_task039e2_structured_output_t0.py,true
src/paperworks/v6/task039e3_execution_prep_v1.py,parse_provider_proposal_response_v1,RULE_DSL,parse strict provider result,response/schema,parse status plus core,slot executor,ProviderProposalCoreV1,false,provider custody,E2 response policy,typed failure status,tests/test_task039e3_transport_parser_custody.py,true
src/paperworks/v6/task039e3_orchestration_v1.py,_project_proposal_document,RULE_DSL,add project provenance and closed fields,core/evidence/provenance,proposal mapping,wrap_and_verify_core_v1,canonical_proposal_hash_v1,false,private proposal ledger,E0 protocol,fail closed,tests/test_task039e3_main_arms.py,true
src/paperworks/v6/task039e0_validity_v1.py,verify_prepared_rule_proposal_v2,RULE_DSL,deterministic proposal validity,proposal/relation/evidence/provenance/budget,PreparedValidityResultV2,wrap_and_verify_core_v1,bounded checks,false,private validity ledger,E0 validity policy,rejected with bounded issues,tests/test_task039e0_validity_v2.py,true
src/paperworks/v6/task039e3_scientific_execution_v1.py,run_real_t0_v1,T0_TEMPLATE,real deterministic template adapter,evidence/ledgers,ConstructionOutcomeRecordV1,scientific executor,wrap_and_verify_core_v1,false,proposal/outcome ledgers,E1 and E2 bindings,no_rule on rejection,tests/test_task039e3_live_execution.py,true
