component_id,module,path,symbol,source_ref,source_commit,current_core,executed,frozen_result_used,test_path,notes
DATA_PROVENANCE,paperworks.data.hai_provenance_v1,src/paperworks/data/hai_provenance_v1.py,build_hai_dataset_manifest_v2:1342,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,false,true,true,tests/test_task039a_manifest_schemas.py;tests/test_task039a_reports.py,The builder validates already-observed records; it is not the raw-data scientific parser.
SPLIT_GOVERNANCE,paperworks.data.splits_v2,src/paperworks/data/splits_v2.py,assert_operation_permitted_v2:85,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,false,true,true,tests/test_task039p1a_splits_v2.py;tests/test_task039br2_contracts_and_boundaries.py,No direct static call from the D0/D1/D2 real execution modules to this representative function was found.
VARIABLE_ROLE_UNIVERSE,paperworks.v6.candidate_discovery_protocol_v1,src/paperworks/v6/candidate_discovery_protocol_v1.py,CandidateUniversePolicyV1:255,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039c0_candidate_protocol.py;tests/test_task039c0_reports.py,RCC-002 representative_path points to the generic universe builder rather than the actual C0 frozen authority.
META_DISCOVERY,paperworks.candidates.metadata_candidate_discovery_v1,src/paperworks/candidates/metadata_candidate_discovery_v1.py,rank_supported_metadata_records_v1:809,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039c_meta.py,Ranks supported metadata records without score padding.
STAT_DISCOVERY,paperworks.candidates.statistical_candidate_discovery_v1,src/paperworks/candidates/statistical_candidate_discovery_v1.py,rank_pair_evidence_v1:779,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039c_stat.py,Ranks supported normal-only pair evidence.
GDN_DISCOVERY,paperworks.gdn.upstream_candidate_backend_v1,src/paperworks/gdn/upstream_candidate_backend_v1.py,train_upstream_aligned_seed_v1:950,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,false,true,true,tests/test_task039c_gdn_candidates.py;tests/test_task039c_gdn_fidelity.py;tests/test_task039c_gdn_remediation_execution.py,"Static source alone does not select which of the multiple GDN driver/remediation scripts produced the final frozen artifact; execution lineage must resolve it. Candidate edges are learned-graph candidate evidence, not causal relations."
CANDIDATE_UNION,paperworks.candidates.candidate_integration_v1,src/paperworks/candidates/candidate_integration_v1.py,build_task039c_integration_v1:1146,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039c_three_arm_integration.py;tests/test_task039c_integration_reports.py,Validates exact arm inputs and builds an unscored provenance-preserving union.
RELATION_PROFILING,paperworks.profiling.task039d1_fit_v1,src/paperworks/profiling/task039d1_fit_v1.py,build_fit_result_v1:1051,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039d1_fit_engine.py;tests/test_task039d1_independent_replay.py;tests/test_task039d2_real_engine.py,RCC collapses the fit and one-way confirmation implementations into one component; both are required for the actual 42-relation lineage.
NUMERIC_AUTHORITY,paperworks.v6.task039e1_evidence_materialization_v1,src/paperworks/v6/task039e1_evidence_materialization_v1.py,materialize_from_ledgers_v1:517,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039e1_real_materialization.py;tests/test_task039e3_r2r_utility_normal_only_authority_v1.py,There are two lineage layers: E1 construction evidence numeric bindings and later utility runtime numeric authority; documentation should not collapse their identities.
EVIDENCE_PACK,paperworks.v6.task039e1_evidence_materialization_v1,src/paperworks/v6/task039e1_evidence_materialization_v1.py,PrivateConstructionEvidenceV1:363,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039e1_real_materialization.py;tests/test_task039e3_main_arms.py,"RCC-002 names NormalRelationEvidenceV1 as the executed pack, but the executed E3 path uses PrivateConstructionEvidenceV1 projected to RealConstructionEvidenceV1."
RULE_DSL,paperworks.v6.task039e3_r2r_utility_protocol_v4,src/paperworks/v6/task039e3_r2r_utility_protocol_v4.py,CanonicalRuleDescriptorV4:952,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task032b_delayed_response_rule_v1.py;tests/test_task039e3_r2r_utility_protocol_v4.py,"The real D1 path consumes CanonicalRuleDescriptorV4, not DelayedResponseRuleV1 directly. The canonical-to-utility representation boundary needs ARCH-004/005 review."
T0_TEMPLATE,paperworks.v6.task039e3_scientific_execution_v1,src/paperworks/v6/task039e3_scientific_execution_v1.py,run_real_t0_v1:212,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039e3_main_arms.py,Authorized real T0 adapter.
T1_ONE_SHOT,paperworks.v6.task039e3_orchestration_v1,src/paperworks/v6/task039e3_orchestration_v1.py,run_t1_v1:491,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,false,true,true,tests/test_task039e3_main_arms.py;tests/test_task039e3_r2r_live_execution_v1.py,Provider reproduction remains incomplete; source presence and one execution do not establish scientific advantage.
T1B_REPEAT,paperworks.v6.task039e3_orchestration_v1,src/paperworks/v6/task039e3_orchestration_v1.py,run_t1b_v1:557,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,false,true,true,tests/test_task039e3_main_arms.py;tests/test_task039e3_r2r_scientific_result_analysis.py,Three independent budget-matched generations with deterministic selection.
T2_AGENTIC_FEEDBACK,paperworks.v6.task039e3_orchestration_v1,src/paperworks/v6/task039e3_orchestration_v1.py,run_t2_v1:654,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,false,true,true,tests/test_task039e3_main_arms.py;tests/test_task039e3_r2r_scientific_result_analysis.py,"The current cohort did not exercise a feedback action, so agentic benefit remains unvalidated."
DETERMINISTIC_VERIFIER,paperworks.v6.task039e0_validity_v2,src/paperworks/v6/task039e0_validity_v2.py,verify_prepared_rule_proposal_v2:113,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039e0_validity_v2.py;tests/test_task032d_verifier_v1.py,"RCC-002 points at contracts/verifier_v1.py, while the executed construction call graph uses task039e0_validity_v2.py. Their authority relationship needs deep review."
COMMON42_FREEZE,paperworks.v6.task039e3_r2r_utility_protocol_v4,src/paperworks/v6/task039e3_r2r_utility_protocol_v4.py,build_common42_public_authority_v4:817,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039e3_r2r_utility_protocol_v4.py,The builder consumes frozen manifest-level authority rather than proposal objects directly; construction-to-COMMON lineage is artifact-mediated.
RULE_RUNTIME,paperworks.v6.task039e3_r2r_utility_inner_d1_execution_v1,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,execute_real_rule_v1:1509,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039e3_r2r_utility_inner_d1_execution_v1.py;tests/test_task039e3_r2r_utility_evaluator_v1_rule_engine.py;tests/test_task032e_runtime_v1.py,"Three runtime layers exist: canonical Rule v1 runtime, synthetic R3 evaluator, and a copied/ported real D1 implementation. The frozen result uses the real bridge, not the RCC representative execute_rule_v1."
SATISFACTION_TRACE,paperworks.v6.task039e3_r2r_utility_inner_d1_execution_v1,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,RealRuleExecutionResultV1:665,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039e3_r2r_utility_inner_d1_execution_v1.py;tests/test_task032e_runtime_v1.py,The frozen D1 path records a task-specific trace hash; canonical RuntimeTraceV1 exists separately and was not directly used
EXPLANATION_RENDERER,paperworks.contracts.explanation_v1,src/paperworks/contracts/explanation_v1.py,render_delayed_response_explanation:180,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,false,true,false,tests/test_task032e_explanation_v1.py,"No call from the D1 real bridge or D0/D2 result paths to render_delayed_response_explanation was found. The professor package's explanation path is implementation-level, not a frozen D1 result lineage."
D0_PCA_SPE,paperworks.v6.task039e3_r2r_d0_inner_execution_v1,src/paperworks/v6/task039e3_r2r_d0_inner_execution_v1.py,execute_authorized_d0_inner_v1:2459,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039e3_r2r_d0_inner_execution_v1.py;tests/test_task039e3_r2r_d0_result_integrity_v1_independent.py,Single-attempt real D0 orchestration.
D1_RULE_ONLY,paperworks.v6.task039e3_r2r_utility_inner_d1_execution_v1,src/paperworks/v6/task039e3_r2r_utility_inner_d1_execution_v1.py,execute_authorized_inner_d1_v1:2523,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039e3_r2r_utility_inner_d1_execution_v1.py;tests/test_task039e3_r2r_utility_inner_d1_result_integrity_v1_independent.py,RCC-002 representative_symbol points to the synthetic evaluator execute_rule_v1 rather than the real frozen-result entrypoint/callee set.
D2_V1,paperworks.v6.task039e3_r2r_d2_inner_execution_recovery_v1,src/paperworks/v6/task039e3_r2r_d2_inner_execution_recovery_v1.py,execute_authorized_d2_inner_recovery_v1:515,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,true,true,true,tests/test_task039e3_r2r_d2_inner_execution_recovery_v1.py;tests/test_task039e3_r2r_d2_result_integrity_v1_independent.py,Frozen result completed through the authorized recovery bridge after one infrastructure-aborted original attempt
