pair_id,source,target,meta_selected,stat_selected,gdn_selected,arm_count,downstream_profiled,safe_artifact_reference
PAIR-001,P1_FCV01D,P1_FT02,true,true,false,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-002,P1_FCV01D,P1_FT02Z,true,true,false,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-003,P1_FCV03D,P1_FT03,true,false,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-004,P1_FCV03D,P1_FT03Z,true,false,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-005,P1_PCV01D,P1_PIT01,true,true,false,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-006,P1_FCV01D,P1_TIT01,true,false,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-007,P1_FCV02D,P1_FT02,true,false,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-008,P1_FCV02D,P1_FT02Z,true,true,false,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-009,P1_FCV02D,P1_TIT01,true,false,true,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-010,P1_FCV03D,P1_LIT01,true,false,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-011,P1_LCV01D,P1_LIT01,true,true,false,2,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
PAIR-012,P1_PP04,P1_TIT03,true,false,false,1,NOT_EVALUATED_AT_DISCOVERY_FREEZE,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
