gap_id,title,disposition,priority,blocks_which_experiment,recommended_action,action_type,estimated_scope,scientific_risk_if_ignored,engineering_risk_if_ignored,claim_risk_if_ignored,dependencies,verification_after_action,user_decision_required,status
GAP-001,Final scientific rule authority is not singularly resolved,P0_FIX_BEFORE_EXPANDED_VALIDATION,P0,EXP-02;EXP-03;EXP-04;EXP-05;NEW_HELD_OUT_FINAL,Choose and version one final authority contract or a verified bridge; add conformance and stale-authority rejection tests without rewriting PILOT V1.,CONTRACT_FIX,MEDIUM,Future results could be attributed to a verifier or rule authority that did not govern execution.,Two partially overlapping authority planes and several entrypoints remain costly to audit.,The verified-rule construction contribution needs one explicit final method identity.,USER-DECISION-01;ARCH-011,Contract matrix; projection/rebinding tests; runtime authorization negative tests; exact authority receipt.,true,TRIAGED_NOT_IMPLEMENTED
GAP-002,D1 lacks a durable pre-label prediction gate,P0_FIX_BEFORE_EXPANDED_VALIDATION,P0,EXP-04;NEW_HELD_OUT_FINAL,"For VALIDATION V2, atomically persist, close, reopen/replay, authorize labels only after byte validation, and recheck bytes after metrics.",CODE_FIX;TEST_FIX,SMALL,A future final study would have weaker evidence against post-label mutation than D0 and D2.,Nested dictionaries remain mutable and there is no atomic persist-close-reopen state transition.,Pilot wording must remain qualified; expanded results need the stronger gate.,GAP-001,Synthetic state-machine and mutation tests plus custody receipt; zero label access before durable authorization.,false,TRIAGED_NOT_IMPLEMENTED
GAP-003,"Validation, policy-selection, and final held-out roles are not frozen",EXPERIMENT_DESIGN_REQUIREMENT,P0,EXP-04;NEW_HELD_OUT_FINAL,"Preregister validation and final-test roles, select/freeze any fusion policy on validation, and prohibit post-final tuning.",EXPERIMENT_PROTOCOL,RESEARCH_EXPERIMENT,Policy choice on final outcomes would invalidate independent confirmation and generalization claims.,"A new authorization, custody sequence, and immutable split-role manifest are required.",Current results remain pilot-only; final claims require a new one-way study.,ARCH-011;GAP-001;GAP-002,"Pre-result protocol hash, split-role manifest, one-way access ledger, and final policy receipt.",true,TRIAGED_NOT_IMPLEMENTED
GAP-004,Attack-event scope and inferential unit are not established,EXPERIMENT_DESIGN_REQUIREMENT,P0,EXP-04;NEW_HELD_OUT_FINAL,"Freeze event-unit construction, overlap rule, evaluation scope, and an inference plan appropriate to the available dependence structure; do not manufacture independence.",EXPERIMENT_PROTOCOL,RESEARCH_EXPERIMENT,Tiny or dependent units cannot support broad superiority or stable inference.,No code defect; the event and inference contract must be preregistered.,"Descriptive pilot results are usable, but inferential/general claims are not.",GAP-003,Preregistered event manifest and analysis plan before outcomes.,false,TRIAGED_NOT_IMPLEMENTED
GAP-005,Construction failures can collapse into no_rule,P1_FIX_BEFORE_SPECIFIC_EXPERIMENT,P1,EXP-03,"Persist explicit no_rule, provider, parse, rejection, non-repairable, retrieval, and budget outcomes with faithful call accounting.",CODE_FIX;CONTRACT_FIX;TEST_FIX,SMALL,"Arm success, safety refusal, and system failure rates can be misclassified.",Outcome taxonomy and persisted reason codes are non-conformant.,"Blocks a credible Agentic/construction comparison, not Rule-only detection evaluation.",GAP-001,Negative transition matrix; no failure class accepted as no_rule; frozen three-case interpretation retained historically.,false,TRIAGED_NOT_IMPLEMENTED
GAP-006,GDN internal Top-5 can spend a slot on self,P1_FIX_BEFORE_SPECIFIC_EXPERIMENT,P1,EXP-01,Correct the mask order in a new version or preregister an explicit old-versus-corrected ablation before EXP-01.,CODE_FIX;TEST_FIX,SMALL,Graph-ranking and masking conclusions may depend on an unintended neighbor-budget convention.,Pre-Top-K mask order is not aligned with the documented candidate policy.,"Does not invalidate the 144-pair closure or frozen pilot, but blocks a clean GDN contribution test.",NONE,Synthetic diagonal/mask/top-k tests and versioned candidate receipts.,false,TRIAGED_NOT_IMPLEMENTED
GAP-007,Graph-Guided scientific contribution is unvalidated,EXPERIMENT_DESIGN_REQUIREMENT,P1,EXP-01,"Preregister seed and split stability, GDN-only confirmed yield, functional masking, and Top-20 sensitivity/justification.",EXPERIMENT_PROTOCOL,RESEARCH_EXPERIMENT,Candidate presence alone cannot support a useful graph-guidance contribution.,The authoritative backend identity and analysis contract must remain frozen.,Graph-Guided stays provisional and should be removed from the headline contribution if EXP-01 is negative or inconclusive.,GAP-006,Frozen EXP-01 protocol and contribution decision table.,false,TRIAGED_NOT_IMPLEMENTED
GAP-008,Agentic feedback benefit is not identifiable in the pilot,EXPERIMENT_DESIGN_REQUIREMENT,P1,EXP-03,"Freeze provider/model/prompt/evidence hashes, temperature, budgets, retries, repeated generations, and construction metrics; never inject artificial failures merely to activate feedback.",EXPERIMENT_PROTOCOL,RESEARCH_EXPERIMENT,Implemented capability cannot be interpreted as feedback benefit.,Exact deterministic LLM replay is impossible; traceable repeated sampling and custody are feasible.,Agentic remains conditional; no observed action means no demonstrated benefit.,GAP-005,Budget/custody audit and predefined conclusion rule when feedback remains unused.,false,TRIAGED_NOT_IMPLEMENTED
GAP-009,Expanded detection lacks a stronger multivariate baseline,EXPERIMENT_DESIGN_REQUIREMENT,P1,EXP-04;NEW_HELD_OUT_FINAL,Identify and preregister at least one stronger multivariate detector before final EXP-04 results; apply the same label and metric custody.,EXPERIMENT_PROTOCOL,RESEARCH_EXPERIMENT,Comparison only to PCA-SPE cannot support competitive detector claims.,A new frozen detector implementation and equivalent custody adapter are required.,"PCA-SPE may remain the transparent reference, but final detection claims need at least one stronger baseline.",GAP-003;GAP-011,"Frozen baseline identity, hyperparameter-selection role, prediction receipt, and common metric handoff.",true,TRIAGED_NOT_IMPLEMENTED
GAP-010,Evaluated V4 trace is not connected to canonical explanation,P1_FIX_BEFORE_SPECIFIC_EXPERIMENT,P1,EXP-05,Materialize a continuous-step trace from the selected runtime authority and bind a deterministic renderer to it.,CONTRACT_FIX;CODE_FIX;TEST_FIX,MEDIUM,Explanation fidelity cannot be evaluated against a trace that the evaluated runtime did not produce.,A versioned authority-bound trace/renderer bridge is missing.,Blocks EXP-05 structural fidelity only; does not block EXP-04 detection.,GAP-001,"Field-level trace equivalence, no-new-variable/number checks, outcome and provenance fidelity tests.",false,TRIAGED_NOT_IMPLEMENTED
