stage,train1_features,train1_labels,train2_features,train2_labels,train3_features,train3_labels,train4_features,train4_labels,test1_features,test1_labels,test2_features,test2_labels
META discovery,READ_NOT_USED,NOT_APPLICABLE,READ_NOT_USED,NOT_APPLICABLE,FORBIDDEN,NOT_APPLICABLE,FORBIDDEN,NOT_APPLICABLE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN
STAT discovery,READ_ALLOWED,NOT_APPLICABLE,READ_ALLOWED,NOT_APPLICABLE,FORBIDDEN,NOT_APPLICABLE,FORBIDDEN,NOT_APPLICABLE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN
GDN training,READ_ALLOWED,NOT_APPLICABLE,READ_ALLOWED,NOT_APPLICABLE,FORBIDDEN,NOT_APPLICABLE,FORBIDDEN,NOT_APPLICABLE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN
candidate union,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
relation profiling,READ_ALLOWED,NOT_APPLICABLE,READ_ALLOWED,NOT_APPLICABLE,FORBIDDEN,NOT_APPLICABLE,FORBIDDEN,NOT_APPLICABLE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN
relation confirmation,READ_NOT_USED,NOT_APPLICABLE,READ_NOT_USED,NOT_APPLICABLE,READ_ALLOWED,NOT_APPLICABLE,FORBIDDEN,NOT_APPLICABLE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN
numeric authority,READ_ALLOWED,NOT_APPLICABLE,READ_ALLOWED,NOT_APPLICABLE,FORBIDDEN,NOT_APPLICABLE,FORBIDDEN,NOT_APPLICABLE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN
evidence pack,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,FORBIDDEN,FORBIDDEN,FORBIDDEN
T0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,FORBIDDEN,FORBIDDEN,FORBIDDEN
T1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,FORBIDDEN,FORBIDDEN,FORBIDDEN
T1-B,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,FORBIDDEN,FORBIDDEN,FORBIDDEN
T2,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,FORBIDDEN,FORBIDDEN,FORBIDDEN
