numeric_id,relation_id,field_name,meaning,unit,source_split,derivation_symbol,construction_or_runtime,artifact,provenance,hash_binding,frozen,consumer,notes
C01,ALL_42,source_step_threshold,Minimum sustained source-step amplitude,source unit,train1+train2,derive_multi_file_source_parameters_v1,construction,E1 construction evidence,D1 fit-derived source parameter,relation bundle + parameter record hash,true,T0|T1|T1-B|T2,Private value; one of 11 construction roles
C02,ALL_42,source_stability_tolerance,Allowed deviation around source pre/post medians,source unit,train1+train2,derive_multi_file_source_parameters_v1,construction,E1 construction evidence,D1 fit-derived source parameter,relation bundle + parameter record hash,true,T0|T1|T1-B|T2,Private value
C03,ALL_42,target_noise_scale,Normal target difference scale,target unit per row,train1+train2,derive_multi_file_target_scale_v1,construction,E1 construction evidence,D1 fit-derived target parameter,relation bundle + parameter record hash,true,T0|T1|T1-B|T2,Private value
C04,ALL_42,selected_delay_horizon_seconds,Selected relation delay,row-seconds,train1+train2,rank_direction_horizon_v1,construction,E1 construction evidence,D1 fit-selected relation identity,relation identity + fit/confirmation hashes,true,T0|T1|T1-B|T2,Public relation identity field; not a runtime private numeric role
C05,ALL_42,source_pre_window_seconds,Source pre-event window,row-seconds,preregistered,build_default_relation_profiling_bundle_v1,construction,E1 construction evidence,D0 protocol constant,window constant bundle hash,true,T0|T1|T1-B|T2,Private reference; frozen constant
C06,ALL_42,source_post_window_seconds,Source post-event window,row-seconds,preregistered,build_default_relation_profiling_bundle_v1,construction,E1 construction evidence,D0 protocol constant,window constant bundle hash,true,T0|T1|T1-B|T2,Private reference; frozen constant
C07,ALL_42,minimum_source_stability_fraction,Minimum stable samples in each source window,fraction,preregistered,build_default_relation_profiling_bundle_v1,construction,E1 construction evidence,D0 protocol constant,window constant bundle hash,true,T0|T1|T1-B|T2,Private reference; frozen constant
C08,ALL_42,source_refractory_seconds,Same-source single-link cluster gap,row-seconds,preregistered,build_default_relation_profiling_bundle_v1,construction,E1 construction evidence,D0 protocol constant,window constant bundle hash,true,T0|T1|T1-B|T2,Private reference; frozen constant
C09,ALL_42,cross_source_isolation_radius_seconds,Inclusive other-source isolation radius,row-seconds,preregistered,build_default_relation_profiling_bundle_v1,construction,E1 construction evidence,D0 protocol constant,window constant bundle hash,true,T0|T1|T1-B|T2,Private reference; frozen constant
C10,ALL_42,target_baseline_window_seconds,Target baseline median window,row-seconds,preregistered,build_default_relation_profiling_bundle_v1,construction,E1 construction evidence,D0 protocol constant,window constant bundle hash,true,T0|T1|T1-B|T2,Private reference; frozen constant
C11,ALL_42,target_response_window_seconds,Target response median window,row-seconds,preregistered,build_default_relation_profiling_bundle_v1,construction,E1 construction evidence,D0 protocol constant,window constant bundle hash,true,T0|T1|T1-B|T2,Private reference; frozen constant
R01,ALL_42,source_step_threshold,Runtime source step detector threshold,source unit,train1+train2,calibrate_all_role_values_v1,runtime,normal-only V1 private registry,new authority reconstitution from frozen method and normal data,relation_binding_hash + role + record hash,true,D1 and future same-authority D2,Private value; not restored E1 identity
R02,ALL_42,source_stability_tolerance,Runtime source stability tolerance,source unit,train1+train2,calibrate_all_role_values_v1,runtime,normal-only V1 private registry,new authority reconstitution,relation_binding_hash + role + record hash,true,D1 and future same-authority D2,Private value
R03,ALL_42,target_noise_scale,Runtime target response noise scale,target unit per row,train1+train2,calibrate_all_role_values_v1,runtime,normal-only V1 private registry,new authority reconstitution,relation_binding_hash + role + record hash,true,D1 and future same-authority D2,Private value
R04,ALL_42,source_pre_window_seconds,Runtime source pre-window,row-seconds,preregistered,_window_role_values_v1,runtime,normal-only V1 private registry,new authority reconstitution,relation_binding_hash + role + record hash,true,D1 and future same-authority D2,Frozen constant
R05,ALL_42,source_post_window_seconds,Runtime source post-window,row-seconds,preregistered,_window_role_values_v1,runtime,normal-only V1 private registry,new authority reconstitution,relation_binding_hash + role + record hash,true,D1 and future same-authority D2,Frozen constant
R06,ALL_42,minimum_source_stability_fraction,Runtime source stability fraction,fraction,preregistered,_window_role_values_v1,runtime,normal-only V1 private registry,new authority reconstitution,relation_binding_hash + role + record hash,true,D1 and future same-authority D2,Frozen constant
R07,ALL_42,source_refractory_seconds,Runtime same-source refractory,row-seconds,preregistered,_window_role_values_v1,runtime,normal-only V1 private registry,new authority reconstitution,relation_binding_hash + role + record hash,true,D1 and future same-authority D2,Frozen constant
R08,ALL_42,cross_source_isolation_radius_seconds,Runtime cross-source isolation radius,row-seconds,preregistered,_window_role_values_v1,runtime,normal-only V1 private registry,new authority reconstitution,relation_binding_hash + role + record hash,true,D1 and future same-authority D2,Frozen constant
R09,ALL_42,target_baseline_window_seconds,Runtime target baseline window,row-seconds,preregistered,_window_role_values_v1,runtime,normal-only V1 private registry,new authority reconstitution,relation_binding_hash + role + record hash,true,D1 and future same-authority D2,Frozen constant
R10,ALL_42,target_response_window_seconds,Runtime target response window,row-seconds,preregistered,_window_role_values_v1,runtime,normal-only V1 private registry,new authority reconstitution,relation_binding_hash + role + record hash,true,D1 and future same-authority D2,Frozen constant

