name,path,source_ref_or_commit,producer,consumer,public_private_classification,public_record_count,public_safe_hash,hash_kind,frozen,audited,current,superseded,comments
Candidate profiling cohort,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json,9ac4578603b81385dc9592cd5db5076d83a3fb66,Candidate integration,Relation profiling,PUBLIC_AGGREGATE,47,6d488da608c2804e8cf3a183c4904403eb9904ad858c85beb34b48cb8bd79254,artifact_hash,yes,yes,yes,no,"Unscored union of META/STAT/GDN candidate evidence"
Train3 confirmation result,docs/task_reports/TASK-039D2_RESULT.json,e655e161c82715638c6c6d398d52dc0babbec7c0,Relation confirmation,Rule-construction cohort,PUBLIC_AGGREGATE,42,3b5bdce629b6ed2bcf26751fae4e870cb63cac1e9fd3e5d3022085615c3ad09d,artifact_hash,yes,yes,yes,no,"One-way normal confirmation"
Confirmed relation cohort,docs/task_reports/TASK-039E0_CONFIRMED_RELATION_COHORT.json,20ca2e6f561ce0cdfaf822198f7b64d8e143215c,Rule-construction protocol,COMMON-42 and numeric authority,PUBLIC_AGGREGATE,"23 pair contexts / 42 directed relations",e71fa69999dbc18310ebb1730fd1d0ea36403763e891b99841ab8cef7ec18732,artifact_hash,yes,yes,yes,no,"No private numeric values"
COMMON-42 authority check,docs/task_reports/TASK-039E3_R2R_UTILITY_COMMON42_AUTHORITY_CHECK.json,6b3b912aa6b69394a06697c3244589cfe98ecd4a,Utility authority audit,D1 runtime and D2 fusion,PUBLIC_AUTHORITY_METADATA,42,3bd07e1c2baf375bde86a2310b529dda40962e027edbd77485f431dc244730ff,artifact_hash,yes,yes,yes,no,"FROZEN_EXECUTABLE_AUTHORITY_AVAILABLE"
Normal-only numeric authority receipt,docs/task_reports/TASK-039E3_R2R_UTILITY_NORMAL_ONLY_AUTHORITY_V1_MATERIALIZED_RECEIPT.json,e971c8c8543f49b31aba2a57cf60257d190b76d5,Normal-only authority materializer,Verifier and runtime,PUBLIC_HASH_METADATA_PRIVATE_PAYLOAD_EXTERNAL,420,80e5f4491c1daf19e788f36621e188364af6ae00,git_blob,yes,yes,yes,no,"Private numeric registry values remain outside Git"
Construction arm synthesis,docs/task_reports/TASK-039E3_R2R_RESULT_ANALYSIS_CONSTRUCTION.json,bc3d930237f1e6b52c6afc02d643d4b6cc1bb0d8,Construction result analysis,Professor and thesis method synthesis,PUBLIC_AGGREGATE,"T0 42; T1 42; T1-B 42; T2 39 plus 3 no_rule",2175fca3c3bcc5ccffe7dfca1fcd8c3a0687ac94a56d077f5db53a6632bf2159,artifact_hash,yes,yes,yes,no,"Does not disclose private numeric authority"
D0 prediction,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D0_DETECTOR_PREDICTION_ARTIFACT_V1.json,78d758f50657413eed28dc838212be9a1edeffc7,D0 PCA-SPE INNER execution,D0 metrics and D2,PUBLIC_FROZEN_SCIENTIFIC_ARTIFACT,54000,a4b58f1c78b9bb53125da1a009f3fd05b02e1c83a789772a341a7679fddca0f6,artifact_hash,yes,yes,yes,no,"Label-blind frozen prediction"
D0 metrics,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D0_METRICS_V1.json,78d758f50657413eed28dc838212be9a1edeffc7,D0 metric evaluator,Comparison and professor reports,PUBLIC_FROZEN_METRIC_SUMMARY,"Recall 0.7857142857142857; FAR 0.4939336325682589",bec8629e2dbdc178d750e795ada7b74aaf0f1475c32c5881c13a2e65c0a92cbf,artifact_hash,yes,yes,yes,no,"Private denominators are not public"
D0 integrity receipt,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D0_RESULT_INTEGRITY_V1_RECEIPT.json,a1ff1929a86e95675431c2c32ace01efa2696a80,D0 independent integrity audit,Result authority index,PUBLIC_INTEGRITY_AUTHORITY,,15559141048efd729b3b4645b4f0baa4ac6d07ceedb2417cbd7915f49435da70,artifact_hash,yes,yes,yes,no,"Report-hash closure followed without changing science"
D1 prediction,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D1_RULE_PREDICTION_ARTIFACT_V1.json,9fe9192c6da4e2d1f3c7a42ecdd28006e8534449,COMMON-42 D1 runtime,D1 metrics and D2,PUBLIC_FROZEN_SCIENTIFIC_ARTIFACT,54000,58c3c49f9657f68d35c830b12eeb493ce4bbf7669c90f04813fb80246c3c2682,artifact_hash,yes,yes,yes,no,"42-rule LLM-free runtime output"
