component_id,one_line_role,source_ref,representative_path,representative_symbol,implementation_status,used_in_frozen_result,audited,major_artifact,deep_review_target
DATA_PROVENANCE,"Pins HAI source and public-safe provenance",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/data/hai_provenance_v1.py,HAIRepositorySnapshotV1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,"HAI provenance manifests","official-source and byte-identity binding"
SPLIT_GOVERNANCE,"Enforces permitted split roles and purge boundaries",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/data/splits_v2.py,assert_operation_permitted_v2,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,"dataset/split manifests","role permissions and purge math"
VARIABLE_ROLE_UNIVERSE,"Builds the masked source-target universe",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/candidates/universe.py,build_candidate_universe,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,"TASK-039C0 candidate universe","source/target compatibility masks"
META_DISCOVERY,"Produces metadata-only candidate evidence",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/candidates/metadata_candidate_discovery_v1.py,FrozenUniverseBindingV1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039C_META_RESULT.json,"zero-feature-value guarantee"
STAT_DISCOVERY,"Produces file-local lagged statistical candidate evidence",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/candidates/statistical_candidate_discovery_v1.py,PairStatisticalEvidenceV1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039C_STAT_RESULT.json,"horizon computation and ranking"
GDN_DISCOVERY,"Supplies upstream-aligned graph-ranking candidate evidence",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/gdn/upstream_candidate_backend_v1.py,verify_pinned_upstream_checkout_v1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039C_GDN_RESULT.json,"upstream fidelity and dependency boundary"
CANDIDATE_UNION,"Forms an unscored provenance-preserving union",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/candidates/candidate_integration_v1.py,build_task039c_integration_v1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039C_CANDIDATE_PROFILING_COHORT.json,"de-duplication and arm provenance"
RELATION_PROFILING,"Fits normal delayed responses and confirms on train3",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/profiling/task039d1_fit_v1.py,evaluate_arm_blind_fit_v1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039D2_RESULT.json,"event isolation and one-way confirmation"
NUMERIC_AUTHORITY,"Separates calibrated values from LLM proposals",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/task039e3_r2r_utility_normal_only_authority_v1.py,build_common42_authority_v1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039E3_R2R_UTILITY_NORMAL_ONLY_AUTHORITY_V1_MATERIALIZED_RECEIPT.json,"private registry bootstrap and exact bindings"
EVIDENCE_PACK,"Binds confirmed relations to normal-only construction evidence",2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,src/paperworks/v6/normal_evidence_v1.py,NormalRelationEvidenceV1,IMPLEMENTED_EXECUTED_AUDITED,yes,yes,TASK-039E1_CONSTRUCTION_EVIDENCE_MANIFEST.json,"public/private evidence split"
